Source,Relation,Target,Weight
tibetan gazelle or goa,EXIST,sparse populations,1
wild yak,FOUND,changchen-mo valley,1
visitor,GET A GLIMPSE OF,kyang,1
marmots,EXIST_IN,hill slopes,1
marmots,BE_FOUND,dras area,1
himalayan marmot,BELONG_TO,zanskar,1
long-tailed marmot,BELONG_TO,zanskar,1
himalayan marmot,HAVE_DISTRIBUTION,wide distribution,1
snow-leopards,EXIST_IN,high mountain areas of ladakh,1
pika,BE_COMMON,mountains of central asia,1
nubra pika,BE_UNDER_THREAT,disturbance of its habitat,1
snow-leopards,EXIST_IN,entire mountain complex of inner asia,1
wolf,IS,important predator,1
wolf,THREAT TO,domestic livestock,1
brown bear,FOUND IN,rolling uplands above the tree-line,1
ladakh urial or shapu,PRINCIPAL MAMMAL FOUND IN,ladakh,1
tibetan argali or nayan,PRINCIPAL MAMMAL FOUND IN,ladakh,1
"bharal, the so-called blue sheep",PRINCIPAL MAMMAL FOUND IN,ladakh,1
tibetan gazelle or goa,PRINCIPAL MAMMAL FOUND IN,ladakh,1
wild yak,PRINCIPAL MAMMAL FOUND IN,ladakh,1
himalayan marmot,PRINCIPAL MAMMAL FOUND IN,ladakh,1
long-tailed marmot,PRINCIPAL MAMMAL FOUND IN,ladakh,1
nubra pika,PRINCIPAL MAMMAL FOUND IN,ladakh,1
pallas’s cat,PRINCIPAL MAMMAL FOUND IN,ladakh,1
lynx,PRINCIPAL MAMMAL FOUND IN,ladakh,1
snow-leopard,PRINCIPAL MAMMAL FOUND IN,ladakh,1
red fox,PRINCIPAL MAMMAL FOUND IN,ladakh,1
wild dog,PRINCIPAL MAMMAL FOUND IN,ladakh,1
tibetan wolf,PRINCIPAL MAMMAL FOUND IN,ladakh,1
brown bear,FOUND IN,"vicinity of dras and the upper suru valley, including rangdum",1
old kingdom,HISTORY OF,ladakh,1
ladakh,PROVIDE,valuable corrective,1
a ladhaki artist,CREATE,sketch,1
lama(s),WELCOME,prince,1
professor petech,PUBLISH,book,1
ladakh's people,EXHIBIT,blending of indo-iranian and mongoloid,1
dard way of life,OVERWHELMED,later dominant tibetan race and culture,1
pockets of dard population,EXIST,today,1
earliest tibetans,MIGRATE,into ladakh,1
tibetan dynasty,ESTABLISH,in ladakh in the middle of the tenth century,1
"dards, tibetans, and possibly other races",MINGLE,to form a new community with its own characteristics,1
trade routes,CROSS,ladakh,1
caravans,JOURNEY,representatives of many ethnic groups of south and central asia,1
some people,STAY,"on, and others leave half-ladakhi children behind them",1
ladakh,EXIST,as a separate entity,1
lalitaditya,RULER,kashmir,1
tibet,UNIFICATION,previous century,1
china,OCCUPATION,central asia,1
ladakh,SUZERAINTY,tibet,1
hui-ch'ao,JOURNEY,india to central asia,1
hu,POPULATION,non-tibetan stock,1
ladakh's earliest inhabitants,RELIGION,bon-chos,1
buddhism,INFLUENCE,western parts of ladakh,1
kashmir,CENTRE,buddhist influence,1
mulbekh,LOCATION,rock engravings,1
buddhism,FLOURISHING IN,western ladakh,1
indian buddhist monks,IMMIGRATING INTO,ladakh,1
tibetan dynasty,RULING IN,ladakh,1
sron-tsan-gam-po,ACCEPTING AS STATE RELIGION OF TIBET,buddhism,1
lang-dar-ma,ABANDONING,religion established by his forefathers,1
nyima-gon,MIGRATING WESTWARDS AND ESTABLISHING RULE IN,provinces immediately to the east of present-day ladakh,1
tibetan aristocracy,INVOLVED IN POWER STRUGGLE AMONG,none (implicit),1
nyima-gon,BEING A LEGITIMATE REPRESENTATIVE OF,"ancient tibetan royal house, the line of sron-tsan-gam-po",1
pal-gyi-gon,ALLOTTED WITH THEORETICAL RIGHT OF SOVEREIGNTY TO,area from zoji-la roughly to present eastern border,1
ladakh,RULED_BY,descendants of mythical hero kesar,1
shey,CAPITAL,kesar's descendants,1
lower ladakh,DIVIDED_INTO,small independent principalities,1
tibetanization,TAKEN_PLACE_AS_RESULT_OF,earlier political relationship,1
ladakh,BECAME,country inhabited by mixed population,1
tibet,RELIGION_AND_RELIGIOUS_CULTURE_SUBORDINATE_TO,ladakh,1
kings of nyima-gon's dynasty,LOOKED_TO,"north-west india, particularly kashmir",1
indian buddhist traditions,IMPORTED_INTO,kingdoms of western tibet,1
second spreading of buddhism,INITIATED_BY,representatives of one of the junior lines of nyima-gon's dynasty,1
guge,RULED_OVER,"zanskar, spiti and kinnaur as well as guge proper",1
yesh-es-od,SENT,young scholars to kashmir and other buddhist centres in north india,1
rin-chen-zang-po,HONOURED_AS,"lotsawa, translator",1
rin-chen-zang-po,REGARDED_AS,single most influential agent of the second spreading,1
tradition,CONNECTS_WITH,number of monasteries in kinnaur and spiti,1
tabo,LOCATION_OF,monastery founded by rin-chen-zang-po,1
"chigtan, lamayuru, nyarma, basgo and alchi",FOUNDED_BY,rin-chen-zang-po's time or soon after,1
yesh-es-od,ASSOCIATION_WITH,atisa,1
atisa,MISSION_TO,western tibet,1
atisa,INTRODUCTION_OF,vajrayana form of mahayana buddhism,1
rin-chen-zang-po,RESPONSE_TO,atisa's intellectual brilliance,1
alchi,HOME_TO,series of wall-paintings,1
phugtal gompa,HOME_TO,similar paintings,1
spiti,HOME_TO,gompas,1
utpala,REIGNING,king of guge,1
hindu encroachments,CONNECTION,western tibet,1
utpala,CONQUESTS,tibet,1
guge culture,REASSERTED ITSELF,ladakh,1
likir monastery,FOUNDATION,religion,1
lamaist treatises,COPYING,gold,1
tibetan buddhist literature,CURRENT IN LADAKH,ladakh,1
novices,SENT TO COMPLETE THEIR MONASTIC TRAINING,central tibet,1
lha-chen ngorub,REIGN,tibet,1
dri-gung-pa monastic sect,BUILDING OF A MONASTERY,holy mount kailash,1
kashmir,FALLING INTO POLITICAL TURMOIL,india,1
buddhism,ERADICATION,india,1
islamic onslaught,MAKING THEMSELVES HEARD,north-west,1
ladakh,CHOSE TO SEEK AND ACCEPT GUIDANCE,tibet,1
ladakhi form of buddhism,DEVELOPING ITS OWN DISTINCTIVELY,none,1
rinchen,RECEIVES,mention in the chronicle,1
rainchan shah,TAKES ADVANTAGE OF,political vacuum,1
bulbul shah,MENTORS,rainchan,1
rainchan,EMBRACES,islam,1
sadr-ud-din,RESTORES ORDER IN,kashmir,1
gyal-bu rinchen,PRODUCES,heir,1
old kingdom,DIVIDES INTO,earlier and later periods,1
chronicle,BEGINS TO GIVE FULLER DETAILS ABOUT,events,1
ladakh,IS SURROUNDED BY,muslim countries,1
zain-ul-abidin,LEADS RAID INTO,western tibet,1
kashmir,LAUNCHES RAIDS AND INVASIONS ON,ladakh and central asia,1
baitistan,CONVERTS TO ISLAM,during this period,1
central ladakh,HAD AN EFFECT ON,the invaders,1
the population of central ladakh,REMAINED TRUE TO,the ancient faith,1
tson-ka-pa,FOUNDED,the reformed monastic order of the ge-lugs-pa,1
king trags-bum-de,WELCOMED,envoys despatched by tson-ka-pa,1
spituk,WAS FOUNDED AT,the first ge-lugs-pa monastery,1
king ngorub,INTRODUCED,the system of having lammas complete their studies in the various monasteries there,1
ladakh,HAD TWO KINGDOMS IN,"one centred on leh and shey, the other down the river with its capitals at basgo and tingmosgang",1
bhagan,REUNITED,the country by deposing the representative of the shey line,1
mirza haidar daughlat,INVADED,ladakh in 1532,1
the ladakhi king,REACHED AN AGREEMENT WITH,haidar,1
he,RETREAT,lhasa,1
he,STAY,ladakh,1
he,ESTABLISH,authority,1
he,MENTION,rebellion,1
tashi namgyal,REUNIFY,ladakh,1
tashi namgyal,ESTABLISH,suzerainty,1
he,STRENGTHEN,kingdom,1
he,REPEL,attack,1
he,DEDICATE,temple,1
he,PLACE,bodies,1
tashi namgyal,BEAT,invasion,1
tashi namgyal,PAINT,portrait,1
he,BUILD,temple,1
he,PLAN,war,1
tshe-wang,EXTEND,rule,1
tshe-wang,MAINTAINED,royal residence,1
tshe-wang,ADDED,maitreya temple,1
portuguese,VISITED,ladakh,1
portuguese,DESCRIBED,ladakh as a rich country,1
jam-yang,INTERVENED,quarrel between chigtan and kartse sultans,1
jam-yang,ASSEMBLED,army to aid sultan of chigtan,1
baltis,CONFRONTED,ladakhi army,1
baltis,OVERRAN,ladakh,1
jam-yang,WAS TAKEN PRISONER BY,ali mir,1
jamyang,WAS RESTORED TO THRONE UNDER CONDITION OF,marrying one of ali mir's daughters,1
baltis,WITHDREW,ladakh,1
gyal katun,CONCEIVED,a child,1
jamyang,RELIEVED,buddhist subjects,1
jamyang,ORDERED THE COPYING OF,holy books,1
sengge namgyal,CARRIED ON THE WORK,none,1
jamyang,ISSUED AN INVITATION TO,stag-tsang-ras-pa,1
sengge namgyal,RETIRED TO,hanle village,1
sengge namgyal,BUILT,one of ladakh's monasteries,1
drug-pa,ASSUMED IMPORTANCE IN,ladakh,1
sengge namgyal,RESUMED THE EXPANSIONIST ACTIVITIES OF,uncle tshe-wang namgyal,1
sengge namgyal,ENLARGED THE LADAKHI EMPIRE TO ITS GREATEST EXTENT,none,1
sengge namgyal,CONQUERED,guge,1
antonio de andrade,DESCRIBED THE BACKGROUND AND ACTUAL EVENTS OF,ladakhi conquest,1
sengge namgyal,DEFERRED TO,mughal empire,1
sengge namgyal,SUED FOR PEACE,promise of paying tribute to the mughal empire,1
sengge namgyal,FORBADE ENTRY,his dominion from that direction,1
francois bernier,VISITED,ladakh,1
sengge namgyal,COMMITTED ECONOMIC SUICIDE,by closing the trade route from kashmir,1
sengge namgyal,FOUND,monasteries under his patronage,1
stag-tsang-ras-pa,FOUNDED,hanle and hemis monasteries,1
sengge namgyal,LEFT IMPRINT ON,"leh, in the shape of the nine-storey palace",1
sengge namgyal,BIRTH,1642,1
ladakh polity,SECURITY_AND_SELF-CONFIDENCE,sengge namgyal's personality and achievements,1
leh,DEVELOPMENT,mercantile,1
shey,EMBATTLEMENT,disaster,1
sengge namgyal,DEATH,1642,1
skalzang dolma,REGENCY,sons,1
ladakh proper,PARTITION,deldan namgyal,1
guge,PARTITION,indrabodhi namgyal,1
spiti and zanskar,PARTITION,demchog namgyal,1
ladakhi dynasties,CUSTOM,association with government work,1
deldan namgyal,ACCESSION,fifteen years before 1663,1
kashmir,RELATIONS,mughal india,1
deldan namgyal,PROMISE,tribute and loyalty to mughal india,1
aurangzeb,VISIT,kashmir in 1663,1
deldan namgyal,PROMISE,"tribute, loyalty, and mosque construction",1
mosque,ERECTION,leh in 1666-7,1
deldan,NEGOTIATE WITH,aurangzeb,1
deldan,ADOPT A FORWARD POLICY TO,the west,1
deldan,SEND AN ARMY,baltistan,1
deldan,INSTALL PUPPET RULERS,principalities of baltistan,1
mughal army,ARRIVE,kashmir,1
ladakhi armies,DEFEAT,mughal army,1
purig,BE BROUGHT BACK WITHIN THE ORBIT OF,ladakh,1
deldan,HAVE RELATIONS WITH,tibet,1
drug-pa monastic sect,ENJOY SPECIAL PATRONAGE FROM,royal family,1
ge-lugs-pa sect,ACHIEVE POLITICAL AND RELIGIOUS DOMINANCE UNDER,fifth dalai lama,1
deldan,AGREE WITH,tibetan authorities,1
tibet,GO TO WAR WITH,bhutan,1
deldan,SEND A LETTER ON BEHALF OF,bhutan,1
small expeditionary force,MARCH WEST AND MEET,ladakhi advance guard,1
ladakhi forces,ENTRENCHED,various fortresses,1
tibetan army,ARRIVED,summer of 1680,1
la-dakhis,DEFEATED,battle on the approaches to the chang-la,1
king and his general,FLED,field,1
tibetans,CONTINUED THEIR WESTWARD MARCH,"without resistance, until they came upon the remnants of the ladakhi army blocking their advance at the defile of basgo",1
remnants of the ladakhi army,BLOCKING,advance at the defile of basgo,1
invaders,HELD,"three years, and finally repulsed only when a relief army advanced from kashmir in response to an appeal from deldan",1
kashmir army,ADVANCED,from kashmir in response to an appeal from deldan,1
deldan,ACCEPTED,mughal suzerainty,1
deldan,OBLIGED TO ACCEPT,"islam, by which name the mughal and kashmir authorities continued to address the kings of ladakh",1
one of his sons,SENT,"kashmir, as a hostage and to be brought up as a muslim",1
kashmir,GIVEN A MONOPOLY OF THE PURCHASE OF PASHM,"including the entire production of western tibet, as well as whatever was produced in ladakh itself",1
ladakh,REMAINED FAITHFUL TO,buddhism,1
treaty of tingmosgang,FIXED,boundary between two countries,1
ladakh,WAS OCCUPIED BY,ancient province of guge,1
lo-pchak,CARRIED PRESENTS FOR,religious establishment of tibet,1
namgyal family,HAD BIAS IN FAVOUR OF,drug-pa sect,1
ladakh,GOT CONCESSIONS FOR,trade in tea,1
ladakh,GOT CONFIRMATION OF PRIVILEGES FOR,pashm trade,1
king of ladakh,MUST NOT ALLOW AN ARMY FROM INDIA TO PROCEED TO AN ATTACK ON,tibet,1
ladakh,LOST ITS INDEPENDENCE IN THE REAL SENSE,though the appearance of it lingered on for another 150 years,1
the old institutional links,REMAINED_AS_STRONG_AS_EVER,between the monasteries,1
the triennial lo-pchak mission,REINFORCED_BY,the existing ties,1
the annual government caravan,COMING_FROM,lhasa,1
tingmosgang treaty,ESTABLISHED_UNDER,the old kingdom,1
ladakhi merchants,MANAGED_BY,the lo-pchak mission,1
ladakh,INTERFERED_IN,its internal affairs,1
tibet,INTERFERED_IN,its internal affairs,1
ladakh's only extra-territorial activity,TOOK_PLACE,on the baltistan border,1
a marriage alliance,AROSE_FROM,between the ladakhi royal house and the rulers of khapalu,1
relations with tibet,EXTENDED_AFTER,the establishment of chinese suzerainty over that country,1
chinese emperor in peking,EXCHANGED_COURTESIES_WITH,ladakh,1
ladakhi government,HELD_A_WATCHING_BRIEF_FOR,the chinese over the movements of the dsungar mongols,1
ippolito desideri,VISITED,ladakh in 1715,1
desideri and his companion father emanuel freyre,CAME_TO,ladakh in search of traces of andrade's mission,1
relazione,CONTAINS_THE_EARLIEST_GENERAL_ACCOUNT_OF,ladakh by a western observer,1
phuntsog namgyal,ASCENDED,throne,1
gyalras rinpoche,BECOME,non-celibate monk,1
tshe-wang,CAUSE,revolt,1
tshe-stang,INSTALL,king,1
ladakh,FALL,decline,1
ali mir,MARRY,princess,1
jahangir,SUCCEED,mughal throne,1
mirza haidar,INCLUDE,memoirs,1
bernier,DROP,hint,1
sengge namgyal,IMPOSE,trade embargo,1
william moorcroft,STAY,ladakh,1
moorcroft,WAS,a veterinary surgeon,1
moorcroft,COME,ladakh,1
moorcroft,QUALIFY,as a veterinary surgeon,1
moorcroft,SEARCH,horses for the east india company's military stud,1
moorcroft,BE,the superintendent of the east india company's military stud,1
travels,PROVIDE,one of the best accounts of ladakh,1
alexander csoma de koros,VISIT,ladakh,1
alexander csoma de koros,SEARCH,his racial roots,1
tshe-spal namgyal,CALCULATE,his advantage lay rather with the more distant british government,1
ladakh,EMERGE,as a result of the awakening,1
moorcroft,FORESEE,the awakening,1
ranjit singh's empire,EXPAND,over the himalaya,1
ladakh,HAVE,a position athwart important trade routes,1
ladakh,HAVE,a monopoly of the trade in pashm,1
afghans,MISRULE,kashmir,1
kashmiri shawl weavers,SEEK,livelihood on the plains,1
western tibet's pashm,DIVERT,"sutlej, through spiti and kinnaur to the plains",1
british,ENCOURAGE,trade in smuggled wool,1
british,REPAIR,tracks used by traders in kinnaur,1
british,OFFER,nomadic herdspeople of western tibet higher prices,1
ranjit singh's government,ESTABLISH,shawl industry in the towns of amritsar and nurpur,1
"gulab singh, raja of jammu",ATTEMPT TO OPEN,pashm route to the plains via kishtwar,1
ranjit,REHABILITATE,traditional industry in kashmir,1
gulab singh,CONCEIVE AND PLAN,invasion of ladakh,1
dogra commander-in-chief zorawar singh,INVADE,ladakh in the summer of 1834,1
zorawar,OFFERED,"indemnity of 15,000 rupees",1
ladakhi court,NEGOTIATED_WITH,withdrawal,1
queen,SHOWED_MORE_SPIRIT,zorawar's intentions,1
dogra envoys,WENT_BACK_EMPTY-HANDED,from ladakhi court,1
ladakhis,POSTPONED_ATTACK_TILL_EARLY_APRIL,when heavy falls of snow hampered them,1
dogras,DEFEATED_WITH_GRIEVOUS_LOSS,ladakhis,1
"envoys from villages upriver (saspol, alchi, likir and nyemo)",BROUGHT_PRESENTS,to zorawar,1
zorawar,AGREED_TO_PAY,"immediate indemnity of 50,000 rupees and annual tribute of 20,000 rupees",1
ladakhis,REVOLTED_AGAINST_DOGRA_DOMINATION,dogra domination,1
sikh governor of kashmir,INSTIGATED_REBELLION,ladakhis against dogra domination,1
occupation of ladakh,DISRUPTED_COMMERCE_PATTERNS,traditional patterns of commerce,1
rampur on the sudej,DEVELOPED_AS_IMPORTANT_WOOL_MART,bypassing ladakh altogether,1
"western provinces of tibet, including gartok",ADDED_TO_DOGRA_DOMINION,to ensure once and for all control of the whole pashm trade from its very source,1
ladakh,CLAIM,kingdom of guge,1
dogras,MAKE A FORWARD MOVE,none,1
ranjit singh,DEATH,1839,1
sikh empire,GOVERNMENT IN DISARRAY,none,1
british,INVOLVED IN INVASION OF AFGHANISTAN,none,1
chinese,PROBLEMS THOUSANDS OF KILOMETRES AWAY,none,1
gulab singh,ORDER,zorawar to invade tibet,1
zorawar,INVADE,tibet,1
dogra veterans,ADD TO THE NUCLEUS OF,none,1
ladakhis and baltis,CONTINGENTS FROM AMONG THE RECENDY SUBDUED PEOPLES,none,1
zorawar,ENRICHED WITH SPOILS,"gompas of hanle, tashi-gang, and guge",1
tibetan territory,CONTROL,none,1
mount kailash,NEIGHBOR TO,none,1
taklakot,INSTALL A GARRISON AT THE STRATEGICALLY IMPORTANT FORT OF,none,1
problem of procuring pashm,LONG-TERM SOLUTION DEPEND ON CONQUEST AND PERMANENT CONTROL OR AGREEMENT WITH TIBETANS,none,1
tibetans,IMPOSE FROM A POSITION OF STRENGTH,none,1
gulab singh,DISCOUNT THE FACT THAT TIBET WAS NOT ALONE AND FRIENDLESS AS LADAKH HAD BEEN,none,1
dogras,FIGHT BRAVELY,none,1
enemy,HOLD AT BAY FOR THREE DAYS,none,1
zorawar,DEATH,none,1
dogras,DEFEAT TURN INTO ROUT,none,1
gulab singh,DREAMED_OF,a greater dogra empire stretching far into tibet,1
zorawar singh,HAD_FLAMBOYANT_CAREER,as a commander,1
ladakhi levies,OFFERED_FEEBLE_RESISTANCE_TO,the invasion of tibet,1
zorawar singh,FAILED_IN,his military ability in the invasion of tibet,1
zorawar singh,DIED,raising hopes among the ladakhis for regaining their independence,1
ladakhis,PROCLAIMED_AS_SOVEREIGN,jigmet namgyal,1
tibetan army,REINFORCED_FROM,the dogra garrison at leh,1
dogras,WERE_CONSIDERABLE_FIGHTERS_TRAINED_AND_HARDENED_IN,ranjit singh's expansionist wars,1
matchlock-men,SLIPPED_AWAY_TO,their villages,1
tibetans,FLED_EAST_TO,the rest of their army beyond the chang-la,1
dogras,REDEEMED_HONOUR_AND_AVENGED_DEATH_OF,zorawar singh,1
dogras and tibetans,CONCLUDED_TREATY_OF,leh on 17 september 1842,1
tibetans,RATIFIED_BORDER_AS_FIXED_FROM_ANCIENT_TIMES_WITH,the dogras as legitimate rulers of ladakh,1
dogras,ABANDONED_CLAIM_TO,western tibet,1
jigmet namgyal and his family,WERE_GIVEN_RIGHT_TO_RESIDE_PEACEFULLY_IN,ladakh provided they refrained from intrigue against the dogras,1
namgyal family,REMAINED_JAGIRDARS_OF,stok to this day,1
dogras and tibetans,GAINED_PERMISSION_FOR_TRIENNIAL_LO-PCHAK_MISSION_TO_SEND_RELIGIOUS_TRIBUTE_TO,lhasa,1
dogra,CONCLUDED,treaty,1
sikh governor of kashmir,RATIFIED,chinese ambans,1
ladakh,BECAME,integral part of dogra dominions,1
baitistan,BRACKETED WITH,"leh, kargil",1
ladakh wazarat,HAS THREE TEHSILS,baitistan,1
gulab singh,PURCHASED,kashmir from british,1
jammu and kashmir,CAME INTO BEING,independent india,1
ladakh,REMAINS,part of jammu and kashmir,1
dogra dynasty,RULED,jammu and kashmir,1
ladakhi peasantry,WERE SUBJECT TO,unwelcome cesses,1
tehsildar,EXPECTED TO TOUR,area,1
leh,CONTINUED TO BE,home of a colony of merchants,1
alexander cunningham,ATTEMPTED,systematic account of ladakh,1
cunningham,PUBLISH,reports,1
thomas thomson and henry strachey,PUBLISH,reports,1
geographers,LEARN,extent of the mountain complexes,1
"explorers, sportsmen, and enterprising tourists",REACH,ladakh,1
frederic drew,TRAVEL,whole state of jammu and kashmir,1
frederic drew,PROSPECT,minerals,1
frederic drew,SERVE,maharaja of jammu and kashmir's government,1
frederic drew,GOVERN,ladakh,1
moravian church,INITIATE,processes of change,1
missionaries,INTRODUCE,new skills,1
missionaries,INTRODUCE,exotic vegetables,1
missionaries,DEVELOP,hospital for in- and out-patients,1
doctors,EXPAND,activities of the hospital,1
missionaries,BRING,medical aid to remote villages,1
mission,OWN,first radio in ladakh,1
elderly people,REMEMBER,charging battery for the radio,1
sonam narboo,QUALIFIED_AT,sheffield university,1
sonam narboo,ENGINEER_IN_CHARGE_OF_CONSTRUCTION,leh airfield,1
sonam narboo,ENGINEER_IN_CHARGE_OF_CONSTRUCTION,kargil-leh highway,1
ladakh,BROUGHT_WITHIN_SCOPE_OF_INDIA_S_MAJOR_EFFORT_IN_ECONOMIC_DEVELOPMENT,india's economic development,1
ladakh,FOUND_ITSELF_A_BATTLE_FIELD,partition,1
ladakh,FACED_INVASION_FROM_FORCES_OF_ISLAM,forces of islam,1
gilgit scouts,PUSHED_UP_THE_INDUS_VALLEY,early summer of 1948,1
taru,REACHED_BY_RAIDERS,pensi-la,1
leh,DEFENCES_CONSISTED_OF_PLATOON_OF_STATE_FORCE,platoon of the state force,1
leh,LIBERATED_FROM_RAIDERS,indian troops,1
zanskar,LIBERATED_FROM_RAIDERS,indian troops,1
ladakh,HAS_SITUATION,tense,1
buddhist leaders,SET_FIRMLY_AGAINST,violence,1
muslims and buddhists of central ladakh,HAVE_MUTUAL_TOLERANCE_AND_ESTEEM,none,1
ladakh,ENJOYS,constitutional and administrative status as part of the republic of india,1
kargil and its environs,BORE_THE_BRUNT,none,1
aksai chin plateau,WAS_OCCUPIED_BY,china,1
chushul,WAS_ADVANCED_TO,none,1
pang-gong lake,HAS_SOUTHERN_MARGIN,none,1
ladakh,EMERGED_INTO_THE_FOREFRONT_OF_PUBLIC_CONSCIOUSNESS,none,1
aksai chin,WAS_LOST_BY,china,1
india,HAD_ATTITUDES_AND_POLICIES_AFFECTING,none,1
srinagar and leh,HAS_MOTOR_ROAD_CONSTRUCTED_BETWEEN,none,1
ladakh,SAW_MILITARY_BUILD-UP,none,1
china,HAD_POLICIES_IN_CENTRAL_ASIA_AND_OCCUPATION_OF_TIBET,none,1
central asia,WAS_CLOSED_OFF_FROM,ladakh,1
karakoram,WAS_A_NETWORK_OF_TRADE_ROUTES_ACROSS,none,1
chinese forces,MARCHED INTO,tibet,1
ladakh,LOOKED TO,central tibet,1
ladakhi buddhists,WERE DEPENDENT ON,elders of their faith in central tibet,1
ladakh,WAS DEPRIVED OF,its ancient reliance on the elders of its faith in central tibet,1
tibetan refugees,MADE FOR,the sanctuary of india,1
ladakhi buddhists,WERE ON THEIR OWN,until the re-establishment of the tibetan monasteries in india,1
india,PROVIDED A SANCTUARY TO,tibetan refugees,1
ladakh,WAS RECOUPED FROM ECONOMIC SETBACK,largely as a result of three new factors,1
ladakhis,ARE AT LEAST AS PROSPEROUS AS,at any time during the heyday of the caravan trade,1
ladakhi monks,STUDY IN,"sera, drepung, tashi-lunpo and other mother-houses",1
ladakhis,TRAVEL TO,dehra dun and karnataka,1
ladakhi buddhism,IS,the destruction of the religion within tibet,1
village families,CONTINUE_TO_HAVE_THE_PERCEPTION_THAT,it is in their larger interest to devote one of their children to the religious life,1
"secularism, materialism and consumerism",HAVE_THE_STRENGTH_TO_WITHSTAND,the religion,1
kashmir,REMAINS_CONSTITUTIONALLY_YOKED,ladakh,1
ladakhis,SUCCEED_IN_WRINGING_FROM_THE_CENTRE,inclusion in the list of scheduled tribes,1
ladakh buddhist association,ORDERED_AND_ENFORCED_A_SOCIAL_BOYCOTT,the muslims,1
the boycott,WAS LIFTED,in 1993,1
buddhists and muslims,CAME TOGETHER,on a common platform,1
leh district,WAS GIVEN,a certain degree of independence,1
the centre,CREATED AND INAUGURATED,the leh autonomous hill development council,1
the people of leh district,GAINED CONTROL OVER THEIR OWN AFFAIRS,since the dogra conquest in 1834,1
nestorian christian merchants,ENGRAVED,rock inscriptions,1
caravans,TOIL,ladakh's high passes and valleys,1
hindustan,TRADE,"textiles, dyestuffs, and spices",1
kashmir,TRADE,shawls and saffron,1
baltistan,TRADE,dried apricots,1
europe,TRADE,manufactured goods,1
china,TRADE,tea,1
sinkiang,TRADE,"carpets, raw silk, and charas",1
tibet,TRADE,pashm (cashmere),1
ladakh,POLITY,neighbouring countries,1
ladakhis,ECONOMY,prosperity,1
himalayan communities,TRADE,subsistence goods,1
tibet's salt lakes,TRADE,salt,1
outer hills,TRADE,foodgrains,1
tibetan herdspeople,SUPPLY,foodgrains,1
ladakh,ECONOMY,pashm (cashmere),1
ladakhi subsistence traders,DEALT_IN,"salt, sheep's wool and foodgrains",1
treaty of tingmosgang,REGULATED,trade,1
kashmiris,HANDLED,pashm,1
one group of merchants,STATIONED,"spituk, near leh",1
muslim families of kashmiri origin,DEALT_IN,pashm,1
tibet baqals,DEALT_IN,pashm from ladakh,1
gulab singh,UNDERTOOK_CONQUEST_OF,ladakh,1
leh merchants of kashmiri origin,ESTABLISHED_MONOPOLY,pashm trade,1
rich buddhist merchants of leh,BREACHED_MONOPOLY,pashm trade,1
farmers of the sham ilaqa,CLAIMED_RIGHT_TO,carry foodgrains and other necessities of life to western tibet,1
shamma,TRADE,leh area merchants,1
shamma,BUSINESS,rudok chang-pa,1
shamma,TRADE,tibet baqals,1
shamma,SELL,pashm,1
tibet baqals,BUY,pashm,1
shamma,PROFIT,100 to 200 per cent,1
shamma,SPEND,time and effort,1
tibet,PRODUCE,salt,1
chang-pa,COLLECT,salt,1
chang-pa,CARRY,thousands and thousands of sheep,1
shamma,BUY,chang-thang sheep's wool,1
shamma,BARTER,barley for salt,1
shamma,CARRY,salt beyond their own homes,1
shamma,BARTER,grain or dried apricots,1
shamma,SELL,in srinagar or leh,1
shamma,MAKE,profit,1
ladakh,REACH OUT TO,neighbouring countries,1
zanskar,BE SUPPLIED WITH,salt,1
chang-pa of rupshu,MAKE TRIPS TO,padum,1
salt,FIND ITS WAY TO,suru valley,1
salt,PAY FOR,semi-luxuries like tea and rice,1
ladakh,CARRY ON TRADES ACCORDING TO,complex pattern,1
lo-pchak mission,GO TO,lhasa,1
lo-pchak mission,CARRY,trade goods,1
government of jammu and kashmir,TAKE ON RESPONSIBILITY TO SEND,lo-pchak,1
radhu family,HOLD NEAR-MONOPOLY OVER,lo-pchak,1
radhu family,HAVE BUSINESS EMPIRE IN,"cities like shigatse, gartok, yarkand, kashgar, and srinagar",1
ladakh,TRADE,tea,1
cha-pa caravan,CARRYING,mainly tea,1
government of tibet,AUTHORIZATION,annual trade mission,1
treaty of tingmosgang,SPECIFICATION,minimum of 200 animal-loads,1
kashmir,CONSUMPTION,tea,1
zhug-stong (official trader),LEADERSHIP,cha-pa mission,1
representative of the former royal family,WELCOME,zhug-stong,1
leh palace,HOSTING,losar (new year) ceremonies,1
official missions,FACILITIES,special status,1
businesses,PREPARATION,direct trade between leh and lhasa,1
travelers,TIME_SPENT,two-and-a-half months,1
tibetan roads,INFESTATION,brigands,1
kalimpong,CENTRE_OF_TRADE,india and tibet,1
modern systems of communication in india,DEVELOPMENT,direct route between leh and lhasa,1
srinagar,LOCATION,railhead at rawal-pindi,1
rawal-pindi,RADIOHEAD,siliguri,1
lhasa,LOCATION,kalimpong,1
trade with western tibet,BRIEFNESS,1950s,1
private caravans,ABSENCE,lhasa after the early 1930s,1
losar (new year) ceremonies,HOSTING,leh palace,1
the caravans,USE,"bolan, guleri and khyber passes",1
sind and the punjab in india,TRADE_WITH,afghanistan,1
ladakh's situation,BE_UNIQUE,its mid-way position between trading centres,1
