Source,Relation,Target,Weight
lari,IS LOCATED AT AN ELEVATION OF,"11,200 feet",1
the village of lari,OCCUPIES,a large extent of alluvial surface,1
the cultivated lands in lari,ARE,extensive but very bare of trees,1
the ramifications,CONCEAL,mountains,1
those near their termination,ABUT,main valley,1
ridges,SEPARATE,streamlets,1
we,ASCEND,piti river,1
the road,LIE,platforms of alluvial conglomerate,1
one alluvial plain,BE,well cultivated,1
the platforms of alluvium,HAVE,irregularly triangular form,1
this stream,RUN,hollow channel,1
the platforms,SLOPE,gently from their apex to the river,1
these cliffs,SHOW,marks of stratification,1
the pebbles,BE,rounded,1
one cause,EXPLAIN,highly variable phenomena,1
extensive alluvial platform,COVERED WITH,cultivation,1
mountain ravine,HAD A GROVE OF,young juniper-trees,1
village,LOCATED ON,alluvial platform,1
river,DIVIDED INTO,numerous channels,1
dankar,PRINCIPAL VILLAGE OF,piti valley,1
piti valley,WIDTH,very wide,1
valley of the piti,SEPARATED BY,low gravelly islands,1
village of dankar,OCCUPIES BOTH SIDES OF,steep ridge entirely composed of alluvium,1
moorcroftiana,INTERESTING AS HAVING BEEN ONE OF THE FEW PLANTS SENT FROM,tibetan country,1
valley of dras,HABITAT OF,moorcroftiana,1
mr. trebeck,JOURNEYED TO,valley of dras from ladak,1
heights behind the village,ASCENDED TO THE SIDE OF,main ridge behind,1
mountain range,INTERPOSED BETWEEN,sutlej and piti valleys,1
river,IS LOCATED NEAR,bank,1
road,BEGAN TO DESCEND,river bank,1
thickets,ARE FOUND ON,gravelly bed,1
hippophaë,IS A TYPE OF,shrub,1
myricaria,IS A TYPE OF,shrub,1
ribes,IS A TYPE OF,shrub,1
willow,IS A TYPE OF,tree,1
lara,IS A VILLAGE NEAR,dankar,1
piti valley,WAS TRAVERSED BY,trebeck,1
parang pass,WAS TRAVERSED BY,one traveller,1
piti river,COMMUNICATES WITH,lahul,1
chandrabhaga or chenab river,IS THE UPPER PART OF,valley,1
kulzum pass,SEPARATES,waters of sutlej and its tributaries,1
weather,WAS ALMOST UNIFORMLY,dry and serene,1
indian rainy season,WE WERE IN THE HEIGHT OF,journey,1
sky,WAS VERY CLOUDY FOR,two days,1
springs,HAD MARGINS WITH,saline incrustation,1
grass,GREW ON,swampy spots,1
sesquicarbonate of soda,CONSISTS OF,saline matter,1
piti,WAS FORMERLY ALMOST INDEPENDENT,"but paid tribute to, or exchanged presents with",1
garu,"PAID TRIBUTE TO, OR EXCHANGED PRESENTS WITH",tibetan countries in its neighbourhood,1
ladak,"PAID TRIBUTE TO, OR EXCHANGED PRESENTS WITH",tibetan countries in its neighbourhood,1
lahul,FOLLOWED THE FORTUNES OF,british rule,1
kunawar,WAS TRANSFERRED TO,british rule,1
valley of piti,IS A VERY THINLY POPULATED VALLEY,none,1
piti,SEPARATED FROM,kunawar,1
mountains,ENTIRELY INTERCEPT ALL ACCESS OF HUMIDITY,districts to the northward,1
houses,ARE IN CONSEQUENCE VERY GENERALLY BUILT OF,unburnt bricks,1
valley of piti,HAS A RIVER CALLED,piti river,1
kibar,IS SITUATED ON THE VALLEY OF A CONSIDERABLE STREAM WHICH JOINS,the main river,1
lara,HAD OCCURRED EVERYWHERE SINCE LEAVING,none,1
ki,IS A VILLAGE PASSED ON THE RIGHT HAND,none,1
monastery,"IS SITUATED ON A CURIOUS, SEEMINGLY ISOLATED, CONICAL HILL ABOVE THE VILLAGE",none,1
kibar,IS RATHER A PLEASING-LOOKING VILLAGE,none,1
the summit of a limestone rock,IS SITUATED ON,a stream,1
our tents,WERE LOCATED ON,a patch of green-sward,1
the village,WAS SEPARATED FROM,by a deep ravine,1
the hill above the village,ROSE,fully 300 feet higher,1
the crops,WERE ALL,barley,1
the elevation,WAS NEARLY,"15,000 feet",1
the road,WOUND ROUND,the sides of hills,1
every little rill,WAS COVERED WITH,a thick coating of ice,1
some small swamps,WERE CRISP WITH,frost,1
the flora,WAS MUCH THE SAME AS,4000 feet lower,1
the rose,WAS A COMMON,rhamnus of piti,1
a little shrubby potentilla,GREW ABUNDANTLY ON,the dry hills above kibar,1
two species of rhubarb,GREW ABUNDANTLY ON,the dry hills above kibar,1
the dama,SHUNS THE LEVEL COUNTRY,none,1
the allium,WAS FIRST OBSERVED THE DAY BEFORE,none,1
lamium rhomboideum,WAS OBSERVED IN THE HANGARANG PASS,none,1
we,ASCENDED,a wilderness of rocks,1
high walls,ROSE,to an elevation of at least 1500 feet,1
limestone and slate,DISPLAYED,a natural section of a multitude of strata,1
guides and porters,WISHED,not to cross the parang pass,1
we,ASCENDED,"to the highest water, perhaps 1500 feet below the summit",1
stream,FLOWED,under the angular gravel,1
i,ASCENDED,a ridge of rugged rocks,1
alsine and small plants,OCCURRED,among the gravel,1
allardia,CONTINUED TO OCCUR,occasionally on the rocks,1
the range,LAY,in a semicircle behind,1
slates and limestone,FORMED,piles of angular fragments,1
parang pass,LOCATION_OF,semicircular bay,1
parang pass,HAS_FEATURE,"narrow ridge, covered with large blocks of stone",1
north,LIES_IN_DIRECTION_OF,large field of snow,1
mountains,OVERLOOK,ridges,1
piti river,LOCATED_NEARBY,parang pass,1
parang pass,HAS_ELEVATION,"18,500 feet",1
temperature,MEASURED_AT,28°,1
wind,BLEW_WITH_VELOCITY,considerable violence,1
lecanora miniata,FOUND_ON,fragments of rock,1
we,COMMENCED_DESCENT_OVER,snow-bed,1
glacier,PASSED_THROUGH,fissures,1
mountains,FORMED_NARROW_VALLEY_WITH,rugged glacier,1
glacier,HAVE,broad white bands,1
broad white bands,ABSORB,earthy matter,1
arches or loops,BE,drawn out to a great length,1
professor forbes,EXPLAIN,glaciers of the alps,1
ravine,HAVE,slope,1
mountain-side,TRAVEL,along which we had hitherto travelled,1
descent,START,from the steep mountain-side,1
plain,BE,flat,1
glacier,REST ON,surface,1
vegetation,APPEAR,"at an elevation of about 16,500 feet",1
plants,GROW,in the crevices of the rock,1
parang valley,BE,located,1
stream,ISSUE FROM,vaulted cavity at its termination,1
glacier,EXTEND FURTHER,and had melted away irregularly,1
cliffs,CONFINE,valley on both sides,1
stream,RUN,among large masses of ice,1
plants,COLLECT,as i descended,1
nepeta,BE,collected,1
potentilla,BE,collected,1
gnaphalium,BE,collected,1
grasses and carices,BE,collected,1
fern,BE,collected,1
tents,BE PITCHED ON,small plain,1
ravine,BE CONNECTED WITH,lateral ravine,1
mountains,BOUND THE VIEW,on both sides,1
valley,BE,wide and level,1
alpine forms,WERE THE SAME AS,those to the south of the parang pass,1
chumoreri lake,LIES BEYOND THIS RIDGE,on the assurance of our guides,1
"tibet, central asia, and siberia",ARE SCATTERED OVER,salt lakes,1
parang river,RUNS,chumoreri lake,1
kiang,APPEAR,"elevations between 14,000 and 16,000 feet",1
parang valley,CONTRACTED,former outlet of the lake,1
rocky hills,ADVANCE,river,1
road,ASCEND,several hundred feet,1
parang river,BEND,south-east,1
chumurti,LOCATED,east of our encampment on the 11th of september,1
village or assemblage of tents,CALLED,chumur,1
captain strachey,LEAVE,party who had accompanied us from piti,1
parang river,JOIN,"piti river, nearly opposite shialkar",1
boundary of the chinese district,PASS,rodok and chibra,1
trebeck,STOPPED,indus,1
haule,LOCATION,parang river,1
parang river,BENDS,south,1
parang river,CROSSES,point,1
nilang,LOCATION,jahnavi branch of the ganges,1
parang pass,CHAIN,great himalaya,1
kailas,PROLONGATION,trans-sutlej himalaya,1
lahul,LOCATION,himalaya,1
kishtawar,LOCATION,himalaya,1
kashmir,LOCATION,himalaya,1
parang river,FLOWED,several channels,1
porters,DISCOMFORT,water,1
channel of a stream,LOCATION,plain,1
our camp,LEVEL,"14,800 feet",1
hills on either hand,INCREASED,height,1
soil,SHOWED,salt,1
salsola,LOCATION,plain,1
christolea,LOCATION,plain,1
alyssum,LOCATION,plain,1
stream,MEANDERED,flat grassy plain,1
hills,ROSE,plain,1
fountain,DISCHARGE,water,1
grass,PRODUCE,plants,1
umbellifera,EXIST,plain,1
aster,EXIST,plain,1
saussurea,EXIST,plain,1
pedicularis,EXIST,plain,1
triglochin,EXIST,plain,1
juncus,EXIST,plain,1
carices,EXIST,plain,1
algae,OCCUR,pools,1
country,BE,arid,1
distance,TRAVELLED,ten miles,1
stream,DESCEND,north,1
ridge,EXIST,clay-slate rocks,1
moraine,BE,granite boulders,1
pass,LIE,five miles,1
cernua,HAS,yellow ranunculus,1
pedicularis,HAS,purple flowers,1
oxytropis chiliophylla,GROWS ON,gravelly surface,1
stipa,GROWS ON,gravelly surface,1
alpine nettle,IS FOUND IN,ravine,1
alsine,FORMS DENSE TUFTS IN,ravine,1
saxifrage,IS FOUND IN,ravine,1
delphinium,IS FOUND IN,ravine,1
granite,COVERS,steep slopes,1
quartz,COVERS,boulders,1
trappean rock,COVERS,boulders,1
lake chumoreri,LIES,fifteen miles westward,1
mountains,RISE,above the pass,1
glacier,OCCUPIES,crest of the pass,1
the small quantity of snow,BE,remarkable,1
arenaria or stellaria,BE,observed,1
cruciferous plants,BE,observed,1
a red lichen,COVER,stones,1
the descent from the lanak pass,BECOME,steep,1
the valley by which we descended,CONTRACT,into a rocky ravine,1
we,ENCAMP,for the night at its junction with a large stream,1
around our camp,HAVE AN OUTBREAK OF,greenstone,1
the rock on both banks,BE,altered by heat,1
the stream,DISAPPEAR,as the ravine widened,1
boulders of granite,BE ABUNDANT ALL ALONG,the ravine,1
christolea and a small stipa,GROW AMONG THE GRAVEL,the plain,1
the direction of the plain,TREND TO THE SOUTH,more than was suited to our purpose,1
we,TURN,"to the left, to cross the ridge which ran parallel to it on the north-east",1
a long gravelly plain,LEAD US TO THE SUMMIT OF,the ridge,1
from this pass,RUN AN OPEN VALLEY,skirted on both sides by low rounded hills,1
tibet,LOCATION,151 table land north of the himalaya,1
mountains,HEIGHT,"16,000 to 17,000 feet above the level of the sea",1
plain,ELEVATION,1000 to 2000 feet in height,1
hanle plain,VEGETATION,eurotia and other plants,1
winter snows,FORMATION,small lake by evaporation,1
hanle,LOCATION,buddhist monastery on the summit of a steep hill,1
lamas,INHABITANTS,about twenty,1
ravine,ENCAMPMENT,tents and wandering population,1
hanle plain,SIZE,six or eight miles in diameter,1
we,WERE INTERESTED,occurrence of fish,1
the plain,HAD A SURFACE,very saline,1
the plain,WAS COVERED WITH,coarse grasses and cyperaceæ,1
these plants,FORMED HEAPS IN SPOTS,not covered by water during the melting of the snow in spring,1
the ground,WAS SWAMPY,in the vicinity of the streams,1
the coarse grasses,WERE REPLACED BY,"little potentillæ, glaux maritima, taraxacum, aster and a number of chenopodiaceous plants",1
the running waters,HAD A POTAMOGETON AND RANUNCULUS AQUATILIS,plentiful,1
the streams,DERIVE THEIR SUPPLY FROM,springs which break out on the edge of the flat country,1
this plain,HAS AT ONE TIME BEEN A LAKE,which has been gradually silted up,1
the monastery,HAD NO SETTLED POPULATION EXCEPT,the monks or lamas,1
the fields,WERE WATERED BY AN ARTIFICIAL CHANNEL BROUGHT FROM THE RIVER,two or three small fields,1
hanle river,DESCEND,indus,1
upper course of indus,LOCATED,pugha ravine,1
forest,CONTAIN,myricaria-trees,1
borax plain,LOCATED,hot springs,1
eastern tibet,HOME_TO,borax lakes,1
sulphur mine,LOCATED,pulokanka pass,1
salt lake,LOCATED,eastern tibet,1
lacustrine clays with shells,CONTAIN,ancient water-mark,1
rupchu,LOCATED,tunglung pass,1
indus valley,HOME_TO,marsilang,1
chashut,CONTAIN,richly cultivated plain,1
bridge over indus,LOCATED,le,1
buddhist edifices,LOCATED,le,1
hanle,LOCATION,gravelly plain,1
hanle river,FLOW,mountain gorge,1
road,DIRECTION,northerly direction,1
indus,LOCATION,banks of the indus,1
channel,ISLAND,bank of fine sand or mud,1
river indus,SOURCE,mountains north of the lakes of mansarawer and rawan rhad,1
river indus,COURSE,north-east direction,1
rock,BE DIFFERENT FROM,any that had occurred,1
conglomerate,BE STRATIFIED,beds,1
river,VARY IN WIDTH,twenty-five yards,1
stream,FLOW GENTLY,two miles an hour,1
indus,FOLLOW THE COURSE OF,left bank,1
mountains,APPROACH THE RIVER,more closely,1
river,FLOW MORE RAPIDLY,often wider and more shallow,1
banks of alluvial clayey conglomerate,FORM CLIFFS,fifty feet,1
road,PASS OVER,projecting spurs,1
vegetation,BE VARIED AND LUXURIANT,at times,1
myricaria bushes,BE SEEN ON THE BANK OF,river,1
labiatæ plant,BE A NEW SPECIES OF,found,1
talus,COVER STEEP SLOPES WITH,angular fragments,1
rocks,ABOUND WITH VARIOUS FORMS OF,"greenstone, syenite",1
tree myricaria,EXIST IN,gorges between pugha and the indus,1
temperature of water,INFLUENCE,vegetation,1
arboreous vegetation,NOT CEASE AT,great elevations in consequence of rarefaction of air,1
trees of myricaria,COME TO AN END WITH,ravine,1
trifling increased elevation,CAUSE DISAPPEARANCE OF,trees of myricaria,1
narrow walls of gorge,CONCENTRATE HEAT AND PREVENT ESCAPE,temperature,1
water of pugha,CONTAIN FISH AT,"elevation of nearly 15,500 feet above sea level",1
air at elevation,BE INSUFFICIENT FOR SUPPORT OF LIFE IN ANIMALS BREATHING BY GILLS,none,1
rock,BE COMPOSED OF,clay-slate,1
hills,BE COMPOSED OF,micaceous schist,1
surface of plain,LAY,scattered boulders of granite,1
central parts of plain,HAVE,remarkable conglomerate in horizontal strata,1
plain,BE COVERED WITH,"white salt, principally borax",1
places,MEET,borax,1
localities,INQUIRE,nature,1
pugha valley,DESCRIBE,borax lake,1
saunders,HEARSAY,borax lake,1
borax lake,PRODUCE,common salt,1
blane,INFORMATION,natives,1
sanpu,CONTAIN,boracic acid,1
sesquicarbonate of soda,PREPARE,borax,1
saunders,NOTICE,hot springs,1
blane,DESCRIBE,borax lake,1
pugha,REPRESENT,phenomenon,1
lake chumoreri,JOIN,road,1
mr. trebeck,TRAVEL,le,1
ascending,ASCEND,few feet,1
caverns,LOCATE,slaty rock,1
sulphur,EXIST,gypsum,1
temperature,BE,169,1
hot springs,EVOLVE,gas,1
valley,BECOME,gently sloping and gravelly,1
boulders,EXIST,granite,1
vegetation,BE,scanty,1
day's journey,ASCEND,mountain-side,1
rock,CHANGE,gneiss,1
valley,BECOME,rugged,1
stream,CUT,narrow channel,1
crest of the pass,BE,level and grassy,1
pass,BE,deep depression,1
watershed,EXIST,scarcely perceptible,1
lake,CONTAIN,fossils,1
clay-beds,CONTAIN,shells,1
road,RUN,slightly undulating surface,1
lake,HAVE,saline plants,1
banks of the lake,BE,shallow and swampy,1
surrounding hills,RISE,several hundred feet,1
face of the mountains,HAVE,weathered mark,1
ground,CONTAIN,lacustrine clay,1
clay,CONTAIN,shells,1
water-mark,DESCEND,valley,1
lake,OCCUPY,valley,1
lakustrine clay formation,INDICATE,former drainage of lake,1
shells,REMAIN,vast abundance in the clay,1
lake,OCCUPY,higher level,1
mollusca,LIVE,in a living state,1
rukchin valley,INDICATE,former drainage of lake,1
lake,BE,fresh,1
lymnææ and cyclades,INHABIT,lake,1
surface of water,INCREASE,about 150 feet,1
zanskar river,DISCHARGE INTO,tributaries,1
road,PASS,ravine on the left,1
lake,BED OF A SMALL LAKE,small basin,1
plain,PASS INTO,another open valley,1
mountains,CLOSE IN A CIRCLE,around us,1
these separating ridges,RISE,to an elevation of from one to two thousand feet,1
ascent towards tunglung pass,CONSTITUTES,an approach to what humboldt has denominated a knot (nœud) of mountains,1
humboldt,ASSIGN,those aggregations of mountains which he has so designated,1
the himalaya,VISITED,by me,1
there is,INDICATED,an extensive tract of highly elevated land,1
the whole tract,IS,eminently mountainous,1
major cunningham,INFORMED,about a field or two at hanle and at the monastery on the banks of lake chumoreri being exceptions,1
the district,IS,much frequented by a nomade population of shepherds,1
us,SEEN,"by clusters of black tents at intervals, especially in rupchu",1
the 25th of september,CONTINUED,to blow a furious north wind,1
it,BEGAN,to snow slightly,1
a mile and a half of level ground,BROUGHT US DIRECTLY UNDER,the pass,1
the road,WAS,very stony and rugged,1
the wind,BLEW STRONGLY,"from the north, driving in our faces the still falling snow",1
ravine,BE_IN,narrow and steep,1
country,OBTAIN_VIEW_OF,surrounding country,1
snow,CEASE_TO_LIE_ON_GROUND,ground,1
plant,BE_COMMON,upper part of the descent,1
corydalis,LEAVE_REMAINDER,crevices of the rocks,1
saussurea,LEAVE_REMAINDER,crevices of the rocks,1
ravine,WIDEN,little,1
alluvial conglomerate,FORM,thick masses,1
promontory,PROJECT,beyond the primitive rocks,1
giah,BE,"elevated 13,400 feet above the sea",1
moorcroft,ENTER,tibetan country,1
sikhs,CHANGE_STATE_OF_COUNTRY,giah,1
king (gylpo),EXIST_AS_PENSIONER,sikh government,1
people,MAINTAIN_CHARACTER,as their occupation of the country,1
gumpa,CROWN,rocky hill,1
town,BE_BUILD_ON,steep alluvial banks,1
giah stream,FLOW_TOWARDS,indus river,1
tunglung pass,CROSS,eastern slope of the ridge,1
giah,LOCATION,valley,1
valley,HAVE,steep banks of alluvial conglomerate,1
ravine,BE,narrow and rocky,1
ephedra,GROW,crevices of the rocks,1
tibetan rose,GROW,gravelly banks of the little stream,1
lonicera,GROW,gravelly banks of the little stream,1
perowskia,BE FOUND,indus valley,1
ravine,EXPAND INTO,plain,1
plain,HAVE,houses and enclosures,1
canals of irrigation,BE CONDUCTED FROM,little giah rivulet,1
rock,CONTINUE TO BE,"conglomerate, alternating with strata of sandstone and of a very friable slate",1
sandstone,VARY MUCH IN COLOUR,"various shades of red, brown, and green",1
indus valley,BE TRAVERSED BY,river,1
platforms of alluvium,INTERPOSE BETWEEN,river and the mountains,1
mountains,ADVANCE IN A SUCCESSION OF SPURS TOWARDS,centre of the valley,1
tibet,HAS_CULTIVATION,willow,1
tibet,HAS_CULTIVATION,poplar,1
salix fragilis,IS_FORM_OF,european willow,1
populus balsamifera,IS_IDENTICAL_TO,tibetan poplar,1
marsilang,HAS_CULTIVATED_LAND,villages,1
chashut,HAS_EXTENSIVE_CULTIVATION,district,1
indus,IS_CROSSED_BY,wooden bridge,1
marsilang,HAS_CULTIVATED_LAND,villages and tracts,1
chashut,HAS_TRACT_OF_CULTIVATION,plain of five or six miles in width,1
the bridge,CROSS,a wide and gravelly valley,1
we,FOLLOW,the course of the valley,1
the town of le,OCCUPY,the top and slopes of a steep hill,1
le,BE_SITUATED,about three miles from the indus,1
the valley,RISE,gradually as it recedes from the river,1
the town,OCCUPY,the slope and surrounds the base of a low spur,1
several small enclosures,BE_PLANTED,with poplar and willow trees,1
a very fine garden,BE_DESTROYED,at the time of the sikh invasion,1
the governor,RESIDE,in the town,1
the military garrison,OCCUPY,a small square fort on the west side of the valley,1
the buddhist religion,BE_PRACTICED,everywhere in ladak,1
the principal monasteries,BE_LOCATED,at some distance from the town in the vicinity of villages,1
a very long building,EXTEND,for more than half a mile,1
the mane,CONSTRUCTION,tibetan village,1
the mane,CONTAINING,words om mane padme hom,1
tibetans,LEAVING,walls on the right hand,1
travellers,PROCEEDING,opposite sides,1
le,ENVIRONS,"urn-like buildings, called chokten or chosten",1
lamas,ASHES,chokten or chosten,1
tibet,RELIGION,remarkable nature of its institutions and ceremonies,1
western tibet,MONASTERIES,very poor,1
sikhs,PLUNDERING,silver and gold,1
lassa,NEIGHBOURHOOD,gorgeous descriptions,1
garu and taklakhar,SHORT POSSESSION,country as far east,1
indus,VALLEY,tibetan town of le,1
sikh thannadar,BUILDING,house of stone,1
nubra,DISTANCE,nearly forty miles,1
poplar and willow,TIMBER,houses in tibet,1
granitic eruption,COMES IN CONTACT WITH,slates and conglomerates of giah ravine,1
le—sabu valley,DEPARTURE FROM,none,1
nubra river,FLOWS THROUGH,district of nubra,1
villages,FOUND IN,district of nubra,1
irrigation,PRACTICED IN,district of nubra,1
saline soil,CHARACTERIZED BY,none,1
isolated rocks,FOUND IN,chirasa,1
panamik,LOCATED NEAR,nubra river,1
lower nubra,PART OF,nubra region,1
platforms of alluvium,FOUND IN,nar plain,1
traces of a great flood,INDICATIVE OF,nar plain,1
unmaru,LOCATED NEAR,waris mountain pass,1
kuru,LOCATED NEAR,boghdan ravine,1
great contraction of valley,CHARACTERIZED BY,none,1
mountain pass of waris,CROSSED BY,none,1
boghdan ravine,LOCATED IN,chorbat,1
mahommedan population,FOUND IN,villages,1
outburst of granite,CHARACTERIZED BY,none,1
siksa,LOCATED NEAR,khapalu,1
open plain of khapalu,FOUND IN,junction of shayuk and indus,1
description of iskardo,GIVEN BY,none,1
aqueduct,PART OF,fort,1
fort,LOCATED IN,iskardo plain,1
lacustrine clay formation,FOUND IN,none,1
valley,CONTRACTED,rocky ravine,1
road,ASCEND,steep mountain-sides,1
ascent,COVERED,snow,1
crest,LIE,about a foot of snow,1
pass,ELEVATION,"18,300 feet",1
north face of the pass,LAY THICKLY,two miles or rather more,1
thermometer,STAND AT,15°,1
morning,MAKE A SHORT MARCH TO,village of digar,1
distance,BE NOT MORE THAN,four miles,1
digar stream,PARALLEL TO,that river,1
road,DESCEND,level of river,1
platform of alluvium,PROCEED,at least a mile,1
mass of alluvium,PRESENT,scarped cliffs,1
shayuk,FLOW,wide gravelly plain,1
mountains,PROJECT,black slate and conglomerate,1
euphrates,DISCOVERED ON THE BANKS OF,it,1
griffith,FOUND BY,it,1
dr. stocks,FOUND BY,it,1
indus,FOUND ABUNDANT ON THE BANKS OF,sind and multan,1
shayuk,OCCUR AT INTERVALS ALONG THE VALLEY OF,within the mountains,1
poplar tree,HAVE,changeable shape of its leaves,1
full-grown tree,HAVE,broad and much toothed leaves,1
young plants,HAVE,very narrow leaves,1
pollarded plants,HAVE,narrow shoots,1
river,BE FULL OF,large waterworn boulders and gravel,1
stream,BE UNDIVIDED,about a hundred yards broad,1
village of tsatti,ENCAMPED ON THE 14TH OF OCTOBER AT,it,1
shayuk,JOIN,large stream descending from the north,1
nubra river,BE CALLED,commonly,1
district of nubra,INCLUDES,course of the shayuk river,1
shayuk river,HAS BEND,eastward of the point where i joined it below digar,1
shayuk river,CONTRASTS,the lower part of the valley of the nubra river,1
place of junction of the two rivers,IS ELEVATED,"193 10,600 feet above the level of the sea",1
district of nubra,HAS MEAN ELEVATION,"193 10,600 feet above the level of the sea",1
valley of the shayuk,IS WIDEST,at the point of its junction with the nubra river,1
centre of the plain,IS OCCUPIED BY,a flat gravelly expanse,1
river,COVERS,a great part of the gravelly bed,1
low platforms of alluvium,SLOPE,very gently towards the base of mountains,1
mountains,RISE,abruptly and precipitously on both sides of the valley,1
spurs,ADVANCE,into the open plain,1
shayuk,FLOWS THROUGH,a gravelly plain,1
gravelly plain,IS DEVOID OF VEGETATION,usually,1
tamarix and myricaria,APPEAR,near its junction with the nubra river,1
shayuk valley,CONTRASTS STRONGLY WITH,similar portions in the valley of the nubra river,1
glaciers of sassar,CAUSE,frequent floods which have devastated the whole course of the shayuk valley,1
tibet,DEPENDS ON,supply of water,1
villages,DEPENDENT ON,supply of water and facility with which it can be diverted for purposes of irrigation,1
alluvial tracts,FAVOURABLE TO,industry of man,1
villages,SURROUNDED BY,cultivation,1
water,PRODUCES,dense jungle of hippophaë scrub,1
surrounding mountains,DEPENDING ON,great elevation and perpetual snow,1
villages,HOLDING,"a few fruit-trees, poplars, and willows",1
soil,BEING SALINE,generally,1
nubra river valley,SIMILAR IN CHARACTER TO,that of the shayuk,1
gravelly plain,OCCUPYING THE CENTRE OF,the valley,1
chirasa,LOCATED,river,1
rock,COMPOSED OF,porphyry,1
porphyry,DISPLACED,black slate,1
alluvium,DEVELOPED,ravine,1
valley,OCCUPIED,detritus,1
gravelly conglomerate,SEEN,mountain-sides,1
cliffs,FACED BY,horizontal stratification,1
nubra valley,CULTIVATED,east side,1
houses,BUILT,substantially,1
mané,NUMEROUS AND OF GREAT LENGTH,size,1
watercourses,CARRIED ALONG,sides of the hills,1
hippophaë bushes,FORMS AN IMPENETRABLE BELT,margins,1
tibet,PROMISE LITTLE REWARD,irrigation,1
nubra,EXTENDS ABOUT THIRTY MILES,junction of the river with shayuk,1
shayuk river,FOLLOWED,iskardo,1
lyakjung,STARTED FROM,nubra river,1
the general aspect,REQUIRES,no particular description,1
nubra,PRESENT,features,1
mountains,"ARE NOT LESS STEEP, BARREN, AND INACCESSIBLE",elsewhere in tibet,1
the river,WAS RUNNING,in seven branches,1
the shayuk,APPEARS TO BE EVERYWHERE FORDABLE,at this advanced season,1
flood,OCCURRED,five years before,1
lake,BURST,khundan chu,1
river,DEVASTATED,course,1
flood,DEPOSITED,reliquiæ,1
inhabitants,TESTIFIED,the flood,1
vegetation,DISAPPEARED,lower nubra,1
myricaria and tamarix,GREW,gravelly bed of the river,1
hippophaë,LINED,watercourses,1
"artemisia, lycium, perowskia, and ephedra",GREW,rocks,1
a small tributary,RUNS PARALLEL,the rugged mountain spur,1
a deep bay or recess,WAS FILLED WITH,beds of loose sand,1
much of the light sandy beds,WERE OF RECENT ORIGIN,probably referable to the great flood five years before,1
the waters,ROSE TO A HEIGHT,of not less than fifty feet above their usual level,1
the beds of clay,WERE STRATIFIED,and were referable to the same lacustrine formation as the fossiliferous beds observed higher up the valley of the shayuk,1
from kuru,IS NO ROAD ALONG,the bank of the river,1
in winter,TRAVELLERS ARE ABLE TO CONTINUE THEIR COURSE,along its bed by proceeding on the ice,1
leaving kuru,I ENCAMPED AT,"the village of waris, elevated 12,400 feet",1
the few huts,CONTAINED NO INHABITANTS,"being abandoned, as soon as the harvest has been reaped and housed, for the more temperate climate of the river valley",1
the ravine,WAS VERY NARROW AND RUGGED,by which i ascended from kuru,1
the road,LAY AT A CONSIDERABLE HEIGHT,"on the steep slopes of the hills, but three times crossed the stream",1
the geological structure,WAS VERY INTRICATE,"from the great mass of igneous rock, granite, greenstone, and amygdaloid which everywhere occurred",1
masses of alluvial conglomerate,RESTED,sides of the mountains,1
weather,BEEN,very cloudy and threatening,1
snow,FELL,afternoon at my encamping ground at waris,1
camp,ASCENDED,crest of the ridge on the left,1
ridge,FOLLOWED,succession of undulations in a westerly direction,1
summit,SEEN,reach of the shayuk,1
view,WAS,very striking,1
rocks,CONTRASTING,snowy whiteness of the upper parts of the mountains,1
summit,RISE,"height of perhaps 18,000 feet",1
ridge,NOT LESS THAN,"14,700 feet above the sea",1
snow,MELTED,southern exposures under a bright sun,1
statice,DISPLAYING,remains of flowers,1
juniper,OCCURRED,intervals along the ridge,1
ridge,DESCENDED,narrow valley,1
valley,ENCAMPED,fields of a summer village named boghdan,1
ravine,WELL WOODED WITH,small trees of poplar and willow,1
plants,CONFINED TO,level bottom of the ravine,1
journey,BROUGHT,"siksa, the principal village of chorbat",1
villages,ENCAMPING ON THE WAY AT,"chulungka, turtuk, and pranu",1
government,SUBJECT TO,kashmir,1
people,ARE IN DIRECT CONTACT WITH,buddhist population,1
shayuk river,BE LOCATED,mountains,1
chorbat,BE SEPARATED,nubra,1
valley,BECOME LESS RUGGED,as we continue to descend the river,1
mountains,CLOSE IN,within a quarter of a mile of one another,1
spurs,ADVANCE,to the centre of the valley,1
river,WASH,foot of each rocky spur,1
road,QUIT,level of the river,1
trees,PROVIDE,scaffoldings of wood,1
shayuk,HAVE CHANNEL,coarse gravel or large rolled stones,1
river,BE RAPID AND DEEP,none,1
siksa,LIE,about 9000 feet above the sea,1
villages,LIE ALTERNATELY,opposite sides of the river,1
bridge,BE COMPOSED OF,poplar trunks and light and rude hand-rail of hurdles,1
river,NOT BE MORE THAN,eighty feet wide,1
chorbat,CONTAINS,villages,1
chulungka,CONSISTS_OF,three_or_four_houses,1
shayuk,FLOODED,1842,1
turtuk,LOCATED_AT,south_side_of_the_river,1
pranu,REMARKABLE_FOR,great_extent_of_its_cultivation,1
turtuk,GROWS,apricot-trees,1
villages,SURROUNDED_BY,fine_orchards,1
nubra,HAS,willows,1
turtuk,GROWS,walnut_trees,1
turtuk,GROWS,mulberry_trees,1
turtuk,HAS,vines,1
himalayan valleys,INDIGENOUS_IN,p. alba,1
