Source,Target,TotalWeight,Relations
raja,officials,1.0,exercised power through
each wazeer,assessment and collection of revenue dues,1.0,responsible for
state officials,peasant,1.0,collected dues directly from
peasants,one adult male for begar,1.0,had to provide
british,revenue demand,1.0,attempted to reform and streamline
wazeers and other hereditary officers,local areas and clans,1.0,represented a ruling class within
raja,earlier political structures,1.0,subdued by
wazeers,power,1.0,had not totally been destroyed
regent appointed during the minority of raja shamshere singh,revenue settlement,1.0,desired
the british,to streamline the revenue administration of the state,1.0,intervene
bushahr,to be involved with the british,1.0,began
bushahr,the most important hill state on the river sutlej,1.0,was
bushahr,the passes into tibet that went through the valley of this river,1.0,straddled
the sikh army,predatory raids into bushahr territory,1.0,made
the sikh army,the traditional trade with tibet and ladakh,1.0,disrupted
captain cunningham,to gather information and establish contact with the generals of the sikh army,1.0,was sent
captain cunningham,in his military mission,1.0,partly successful
captain cunningham,the nature of the trans-himalayan trade and the relations of the different political powers in the region,1.0,brought to light
the british,to start work on a road connecting the plains of punjab to the borders of tibet,1.0,personally intervened
labour,for carrying the baggage of the british,1.0,was requisitioned
regions,sparsely,1.0,be populated
village,requisitioning of labour,1.0,find irksome
british,requisitioning of labour,1.0,find difficult
governor-general,kinnaur,1.0,go to
governor-general,trandee,1.0,get stranded
regent,by the british,1.0,be appointed
wazeer mansookh das,under which the entire administration functioned,1.0,be made single authority
functionaries of the state,the arrangement,1.0,complain against
mansookh das,other wazeers,1.0,demand proper accounts from
superintendent of hill states,inability of mansookh das and intrigue of queen mother and other wazeers,1.0,put blame on
board of administration of punjab,inability of superintendent to control and supervise affairs of bushahr,1.0,put blame on
governor-general,'imbecile' regent and 'rude' character of people of bushahr,1.0,put blame on
british,cumbersome system of administration,1.0,agree that root of all problems was
british,sham lal to settle revenues of hill state of bushahr,1.0,depute
the “dhaoo” party,in their numbers,1.0,have strength
each individual,attaching to each,1.0,personal weight and influence
masses of rude peasants,them as “moofsids” or rebels,1.0,represent
local officials,to the advent of a british force,1.0,look forward
nawur peasantry,and on hearing of the destruction,1.0,get called to arms
the raja,to burn and plunder the entire village,1.0,give order
jooalla das,the governor general and the lieutenant governor,1.0,has gone to petition
government,me to visit bussahir,1.0,deputise
rajah,"his officials, and go over to the popular side",1.0,desert
the raja,the cause of the people,1.0,advocate
the “dhaoo” party,and flee precipitately,1.0,lose heart
some,the british pergunnah of kot khaee,1.0,come to
others,into the kooloo district,1.0,cross
barnes,at a place called bagee,1.0,set up court
peasants,doom,1.0,demanded
wazeers,raja,1.0,responsible for the future government of the country
"purrus ram, vakeel",rapacity and corruption,1.0,condign punishment for
barnes,was unsuited to the conditions prevailing in bushahr,1.0,conclusion that the new system of revenue assessment and collection
younghusband,sutlej,1.0,detachment
barnes,wazeers,1.0,appoint
purrus ram,rebellion,1.0,provocation
peasants,poorzee,1.0,provide
state officials and british,demands,1.0,attest
barnes,civilising influence of british rule,1.0,extend
wazeers,peasants,1.0,collect revenue
each wazeer,state's treasury,1.0,deposit
wazeers,concerned officials and raja,1.0,get signatures
suket rebellion,1877–78,1.0,occurred
british control,centrality over politics of region,1.0,established
barnes,fundamental changes in polity and economy of bushahr,1.0,institutionalized
sutlej river,suket state,1.0,drained
sen dynasty of gaur,ruling dynasty of suket,1.0,originated from
mandi,suket,1.0,was once part of
balh area,well-irrigated plains yielding two crops annually,1.0,was agriculturally rich in
pahari tehsils,kullu and mandi,1.0,bordered with
balh,since the new simla-mandi-kangra road passed through it,1.0,increased importance
raja ugar sen,suket,1.0,ruled
ugar sen,1838,1.0,ascended throne
tika ruder sen,his father's motives,1.0,distrusted
ugar sen's other wives' brothers,fear,1.0,deprived him of his throne
raja ugar sen,relations with his heir apparent,1.0,had problems with
tika ruder sen,state's administration,1.0,tried to control
raja ugar sen and tika ruder sen,between the father and son,1.0,had frequent friction
tika ruder sen,state officials to remove his father from the throne,1.0,conspired with
british government,to ascend the throne,1.0,gave sanction
raja ugar sen,1876 under orders from the punjab government,1.0,was appointed raja
the commissioner in jullundhar,tika ruder sen a 'centre of intrigue' in the politics of suket,1.0,considered
raja ugar sen,rules and customs that dictate practice at the death of one's father,1.0,refused to follow
ram ditta mal,and collect all the revenue and other cesses of the state,1.0,to assess
"foreign department, political branch-a",kapurthala state for defrauding it of a few thousand rupees,1.0,had been imprisoned
ruder sen,state officials who served under his father and the other subjects,1.0,was angry at
ram ditta mal,"mughal ijaradar, or rent contractor",1.0,behaved like
revenue,by ram ditta mal,1.0,was charged at higher than the norm rates
the personnel,these new rules,1.0,imposing
the raja,a sullen response,1.0,elicited
petitioners,ram ditta mal,1.0,referred
ram ditta mal,petioners with great severity and cruelty,1.0,treated
the british,an embarrassingly large number of people in the state jail,1.0,found
the governor-general,on it,1.0,remarked
one measure,to impose a fine of two annas to the rupee,1.0,being
the raja,nearly sixty peasant families,1.0,summons
those against whom ram ditta mal wanted to press charges,were taken into custody,1.0,relatives
ram ditta mal's newly appointed tehsildar,the wife of a peasant,1.0,abducted
representatives,royal order,1.0,summoned
men,baned,1.0,accompany
peasants,administration of ram ditta mal and his associates,1.0,rebelled
ditto,peasant opinion,1.0,mobiliser
party,those who had been summoned and those who had been elected to accompany them,1.0,collecting
armed force,baned,1.0,dispatched
peasantry,all sides,1.0,rose
outsiders,imprisoned,1.0,seized
body of men,baned,1.0,marching
commissioner,from jullundhar,1.0,hastened
british officials,raja from firing,1.0,prohibited
levies,to help put down the rebellion and secure ‘order’ in the state,1.0,came
rebel peasants,suket borders,1.0,sealed
british officials,raja end the tyranny in suket,1.0,helped
the raja,locked himself inside his palace,1.0,had
the rebel peasants,an interview,1.0,craved
the british sources,no case of instant justice,1.0,reported
"suket, peasants and nobles",for the british to come,1.0,waiting
the rebels,to the pacifying force,1.0,gave themselves up
the raja of suket,to come out of his palace,1.0,refused
the commissioner,a court,1.0,organised
"ditto, the main instigator",five years imprisonment,1.0,was sentenced to
the rest were given,lesser sentences,1.0,sentences
the entire area that had rebelled,"rs 10,000",1.0,was fined
the raja of suket,that with such light sentences his honour had suffered an irreparable loss,1.0,felt
ruder sen,"that if a raja's relation with his subjects was to be decided by somebody outside the equation, then the honour of the raja was compromised",1.0,felt
orders,sentences,1.0,passed
raja,amnesty,1.0,could be persuaded to grant
state of suket,british crown,1.0,was a feudatory of
peasants,british in affairs of suket,1.0,realised the central role of
raja,changes in nature of hill state,1.0,was either unwilling to grant or was innocent of
peasant rebels,"with ram ditta mal being dismissed, raja being deposed and later even sentences given by commissioner being reduced to few months by governor-general himself",1.0,got a relatively fair deal
suket rebellion,arbitrary power exercised by local political institutions by fixed rules laid down by british,1.0,demonstrated the radical curtailment of
peasantry,traditional weapon of dumh,1.0,began to invite stronger and more severe response leading to failure to get redress
the hill state of mandi,basin of the beas river,1.0,lay
its north-eastern boundary,where this river comes out of the kullu valley,1.0,beginning
its southern limit,the ranges of the siwaliks,1.0,marked
most of its northern boundary,the peaks of the dhauladhar range,1.0,formed
the territory of mandi,three broad zones based on ecological criteria,1.0,can be divided
this region,of the state since the low altitudes of the beas valley enable two harvests in almost all parts,1.0,is agriculturally the richest part
this region,in almost all parts,1.0,enable two harvests
its inhabitants,other non-agricultural activities with profit,1.0,to enter into
sarkaghat,in the southwest of the state,1.0,lies
saraj,in the north-eastern corner of mandi and in the british territory of kullu,1.0,lays
pastoralism,of the local economy,1.0,formed an important part
"salt, iron and trade",of the mandi state's economy,1.0,formed important aspects
the salt mines at gumma and drang,"which was exported to kangra, kullu and eastwards to the sutlej and tons valleys",1.0,produced rock salt
mandi,the partition of suket,1.0,emerged out of
it,"in the fifteenth and sixteenth centuries when its territorial limits stabilised and it emerged as a bigger, richer and more strategically placed hill state than suket",1.0,consolidated itself
mandi,for their control of the beas valley,1.0,became an important centre
its ruler,to lahore for quite some years,1.0,led to his arrest and deportation
mandi durbar,british political agents,1.0,established communications
mandi raja,the british crown,1.0,granted sanad
raja of mundi,the british government,1.0,confirmed claim to throne
wazeer,the state,1.0,looked after administration
ahlkars,wazeer,1.0,worked under
sikhs,two lakh fifty thousand rupees every year,1.0,took tribute
british government,one lakh 'company' rupees every year,1.0,took tribute
raja balbir sen,tika,1.0,"died, leaving minor heir"
becoming india,since the british,1.0,failed
wazeer goshaon,regency council,1.0,made head of
purohit,charge of educating tika,1.0,dismissed from
mr. clarke,raja's tutor,1.0,appointed as
tika,raja bijai sen,1.0,invested with full powers as
goshaon,councillor to the raja,1.0,retained as
clarke,raja's man,1.0,became
clarke and mian bhag singh,whether the raja should accept orders of commissioner or subservient only to supreme government,1.0,formed a committee to consider
punjab government,and after series of enquiries and correspondence,1.0,took serious exception to this
mr. clarke,of bengal civil service,1.0,removed and appointed an official
state's administration,'removing the bengali baboos',1.0,reformed by
raja,mr,1.0,remained legal ruler but power was vested with
british government,was leading to loss of revenue,1.0,felt that sale of 'untaxed' mandi salt...
mandi,the british,1.0,paid a very high tribute to
financial commissioner of punjab,the salt mines at gumma and drang,1.0,sent his men to take charge of
the british councillor,'angrez lok' and 'angrez raj',1.0,abuse
the british councillor,the raja,1.0,insult
servants of the british officer,a crowd,1.0,beat up
servants of the british officer,the crowd,1.0,take prisoner
"harrison, the councillor",the raja,1.0,send word to
the raja,a situation,1.0,control
mr,a crowd,1.0,disperse
british authorities at jullundhar and lahore,the act of gross indiscipline and insult to the representative of the government,1.0,alarm
the people of mandi,the new councillor with the imposition of the new salt rules,1.0,identify
village,due to the inability to buy salt at the new rates,1.0,suffer
harrison,reputation,1.0,felt
raja,possibility,1.0,fear
mandi,event,1.0,description
lahore,disturbances,1.0,impression
raja,intrusion,1.0,resentment
mr. harrison,new rules,1.0,diplomacy
councillor,suitability,1.0,questioning
administration of the salt mines,raja,1.0,reverted
peasants,cash payment,1.0,concerning
"foreign department, political branch-a",unnecessary annoyance,1.0,states
officials,tact and wisdom,1.0,proceedings
harrison,mandi,1.0,departed
rebellion,saraj,1.0,happened_in
administration,nothing,1.0,improved
peasantry,state's demand,1.0,felt_discontent
buffalo lymph,smallpox vaccines,1.0,used_in
sitala,smallpox,1.0,identified_with
medical reforms,dispensaries and schools,1.0,introduced
vaccination,series of measures on medical matters,1.0,part_of
forest rules,with vigour,1.0,implemented
begar,saraj peasants,1.0,became_a_burden
cash economy,other parts of the state,1.0,grew_in
paid labour,family income,1.0,became_a_possible_addition_to
vaccination programme,immediately,1.0,stop
discontent,forest rules and severity of begar,1.0,due to
dumh of 1909 in mandi,"corruption and insensitivity of state administration, and changes in forest management and begar services",1.0,uprising against
peasants,outside the town,1.0,gathered
peasants,audience with the king,1.0,demanded
mandi army,rebels,1.0,not strong enough to resist
officials,neighbouring territories,1.0,fled
rebels,officials and put in jail,1.0,arrested
british authorities,put down the uprising,1.0,asked to help
rebels,wazeer even after arrival of first british officer,1.0,imposed change on
revenue collection,under gurkhas and then sikhs,1.0,increased by about 250%
becoming india,'raids',1.0,collections
peasants,begar,1.0,demands
state,one male per family,1.0,service
polyandrous family,rendering one male surplus to the household,1.0,function
british period,partition of land between brothers and revenue assessment based on land and not on family,1.0,trend
colonial period,peasant agitation in the himalayas,1.0,central issue
forests,range of resources for the villagers,1.0,provided
village,liquidation of the king's wealth by his corrupt officials,1.0,opposed
peasants,forests,1.0,rights
british and peasants,diverged to a large extent,1.0,requirements
land,pre-british times,1.0,source of wealth
land,period under study,1.0,remained so
markets,traditional proprietary peasants,1.0,transformed into class differentiation
non-cultivating land owners,bethus and kolis,1.0,dependent on labour of
kolies,agricultural produce from the land given under beth tenure,1.0,emerged to sell
methods of 'primitive accumulation',important,1.0,were
zamindar,his title deed (patta),1.0,to see
officials,the deed,1.0,retain
revenue officials,collection of state dues,1.0,misrepresentation of facts for
state officials,consisted of khatris,1.0,overwhelmingly
peasants,the cause for almost all the oppression and corruption in the state,1.0,deeply disliked by
raja bhawani sen,a new wazeer,1.0,appointed
peasants,reforming movements,1.0,did not consider these dumhs as rebellions but rather
the king,the inauguration of the new dispensation,1.0,presided over
this restructuring,space for the growth and nurturing of new ideas,1.0,rose
new ideas,the opening of the roads and other communication channels,1.0,came along with
natural resources,'precious' to the state,1.0,became
cash collection of revenue or rent,a decrease in the production of millets and pulses,1.0,led to
wheat,millets,1.0,substitution of
kanet,peasants,1.0,strength
king,intervene,1.0,power
sidhu ram,agrarian disturbances,1.0,involved
ghadder revolutionaries,mandi conspiracy case,1.0,linked to
praja mandal agitation,rebellion,1.0,involves
khatris,proprietary peasants kanet,1.0,oppressor
dhami rebellion,khatri landlords,1.0,expression of anger
bara thakurai,british paramountcy,1.0,confirmed under
sutlej river,dhami,1.0,drainage
gumbher river,yamuna drainage system,1.0,drainage
halog,dhami,1.0,capital
simla,british,1.0,summer capital
chaman lal malhotra,gazetteer of the simla hill states,1.0,provided information
mahr,pargana,1.0,assisted in official business
negi,pargana,1.0,maintained law and order
25 koli families,working as policemen and shikar helpers,1.0,held revenue free land
dhami state praja mandal,a meeting,1.0,formed
meeting,a charter of demands,1.0,adopted
charter of demands,installation of an elected government,1.0,listed
charter of demands,50% remission of land revenue,1.0,listed
charter of demands,abolition of begar,1.0,listed
charter of demands,civil liberties and free speech,1.0,listed
dhami state praja mandal,the raja to recognise it as the true representative of the people,1.0,called
raja,dhami state praja mandal as the true representative of the people,1.0,recognise
praja mandal leaders,to the dhami durbar led by bhag mal sautha,1.0,go
praja mandal activists,mass delegation of the praja mandal,1.0,led
bhag mal sautha,mass delegation of the praja mandal,1.0,led
thakur of the state,popularly elected reform committee,1.0,promise
british officials,the rana to keep his calm and meet the delegation with its demands,1.0,advised
bhag mal sautha,dhami,1.0,enter
state police,bhag mal sautha,1.0,arrest
praja mandalists,police,1.0,disperse
durga and rup ram,gunshot wounds,1.0,kill
"sautha, mansha ram, and dharam dass",prison in halog,1.0,arrest
burnett,dhami,1.0,reach
jutogh cantonment,15 persons with serious bullet injuries,1.0,find
sautha and other arrested praja mandal leaders,jail,1.0,hold hunger strike
rana,hukka-pani for praja mandal sympathisers,1.0,stop
tribune,events in dhami,1.0,report
simla city congress committee,public meeting,1.0,organise
british authorities,from the british authorities,1.0,demand justice
mahatma gandhi,demands of the praja mandal,1.0,express sympathy
gandhi,them out,1.0,heard
gandhi,meet jawaharlal nehru,1.0,directed
jawaharlal nehru,all india states' peoples' conference,1.0,was the president of
gandhi,on the dhami firings and related issues in harijan,1.0,wrote
gandhi,rana of dhami,1.0,demanded a judicial enquiry into all the events that went to make the 'dhami tragedy'
delegation from the hills,nehru in allahabad,1.0,met
all india states' peoples' conference,struggles of the simla peasantry,1.0,promised unstinted support to
many in british parliament,hill state and its ruler,1.0,had personal contact with
himalaya riyasati praja mandal,enquiry committee,1.0,formed
lala duni chand ambalvi,aicc,1.0,president
sridev suman,"parvatia praja parishad, delhi and hill states' peoples'",1.0,secretary
rana dalip singh of dhami,enquiry committee,1.0,appointed
lala kishori lal,simla arya samaj,1.0,member
lala sham lal,simla city congress committee,1.0,member
peasants of dhami,enquiry committee,1.0,recorded statements
30 witnesses,statements,1.0,recorded separately
200 subjects of dhami,more than 200 subjects of dhami,1.0,joint statement
ordinary grievances,excessive land revenue,1.0,related to
extra-ordinary grievances,denial of civil liberties,1.0,related to
state subjects,excessive land revenue,1.0,demanded
peasants,civil liberties,1.0,denied
viceroy and other high british officials,hunting expeditions,1.0,organised
rana,shikar trips of the viceroy,1.0,cherished
extra-ordinary grievances,acts of the dhami state and its officials,1.0,concerned
dhami state and its officials,many kinds,1.0,forcible exactions
peasants,earlier property was inherited,1.0,stated
rana,three degrees of relation,1.0,changed
women subjects,for one year,1.0,banned from wearing ornaments
agent of the state or policeman,any peasant's house,1.0,could enter
viceroy,rs 800 to the state subjects,1.0,gave
committee,these grievances of the dhami subjects,1.0,highlighted
dhami subjects,elected responsible government,1.0,demanded
committee,conduct of the dhami authorities and the rana,1.0,criticised
british administration,initially,1.0,gave wrong advice to the rana
committee,depriving the rana of executive and juridical powers,1.0,recommended
all india states’ peoples’ congress standing committee,into the administration and political conditions in all the simla hill states,1.0,appointed shanti dhawan for conducting a general enquiry
the himalayan riyasati praja mandal,handbills,1.0,printed
the himalayan riyasati praja mandal,propaganda material,1.0,distributed
simla,meetings,1.0,organised
dhami residents and recent ‘political exiles’,in simla,1.0,lived
peasants,the rana,1.0,supported
the state,peasants in all seven parganas,1.0,attempted to get the support of
village,not to co-operate with the state or its agents,1.0,took an oath on the local deity
the entire village or clan,hukka pani,1.0,stopped
individual members,since breaking the oath taken in the group made it close to impossible for individual members to break away,1.0,broke away even under repression and intense pressure from the rana
the rana,combat the mobilisations of the dhami state praja mandal,1.0,initially
villagers in a group,not to co-operate with the state or its agents,1.0,took an oath on the local deity
the individual,"from eating, drinking, smoking, marriage, commercial transactions, community assistance and even walking over the fields of other members of his community",1.0,was prohibited
sita ram sharma,perform religious ceremonies,1.0,refuse
bhadraya,prominent rebel,1.0,be
parma nand,prominent rebel,1.0,be
khash-kanets,main activists,1.0,be
landless agricultural labourers,dagi-koli castes,1.0,belong
bethus,supply grass and fuel wood,1.0,refuse
rana's household,grass and fuel wood,1.0,receive
people,oaths on their village and clan deity,1.0,take
"political agent, punjab hill states",d.o. 16-sm/39,1.0,note
21 bethus,250 and more state subjects who fled,1.0,part
grass sellers of pargana bari,messages between the residents of dhami and those activists of the praja mandal,1.0,carry
activists in dhami,live contact with activists in simla,1.0,have
gandhi,invincible,1.0,be
women,encouraged to come out openly into praja mandal activities,1.0,be
state officials,break small laws in the presence of state officials,1.0,see
rana,police inspector with five policemen to seon pargana,1.0,send
narainu,use his gun,1.0,threaten
police party,mass of peasants,1.0,be surrounded by
policemen,surrounding peasants,1.0,not take action
rana,policemen,1.0,send reinforcements
shiv ram and badlu,state authorities,1.0,be arrested
narainu,state authorities,1.0,escape
badlu,rana,1.0,apologise to
shiv ram,rana,1.0,refuse to apologise
dhami state praja mandal,upon meeting with rana,1.0,call off agitation
rana,delegation from dhami state praja mandal,1.0,refuse to meet
assistant political agent,rana,1.0,give advice
political agent's office,rana,1.0,correspond with
political agent,rana,1.0,enquire whether rana is competent to release people from divine oath
peasants,state forests,1.0,be allowed to kill ghorls and kakkars
rana,payment,1.0,promised
dhami state praja mandal,concessions,1.0,rejected
peasants,revenue,1.0,refused
state officials,begar,1.0,refused
rana,divine oath,1.0,exclaimed
state subjects,revenue payments,1.0,refusing
rulers,secular administrators,1.0,became
clan institutions,peasant's moral economy,1.0,increased control over
rana,helplessness,1.0,repeatedly expressed
british authorities,police reinforcements,1.0,intervened
assistant ramsay,contingent of policemen,1.0,accompanied
25 policemen,two main rebel villages,1.0,occupied
activists,from their homes,1.0,absconded
property,of absconders,1.0,attached
women,village boundaries,1.0,not allowed to leave
praja mandal activists,jobs,1.0,dismissed
seon pargana,revenue,1.0,had paid
sita ram,simla,1.0,arrested
sita ram,refrain from all further activity in political matters,1.0,gave an undertaking
absconders of seon pargana,state authorities,1.0,surrendered
jawarharlal nehru,repression of the dhami peasantry,1.0,protested
dhami peasantry,unrest,1.0,caused
state,payment defaults and costs of pacification,1.0,estimated
peasants of seon pargana,rs 7000 as costs for the maintenance of law and order,1.0,recovered from
koti,simla town,1.0,bounded
state officials and the rana,new taxes and unclear status of begar commutation,1.0,increased scope for fraud and embezzlement by
peasants,proper land revenue settlement conducted by non-state officials,1.0,agitated for
individual peasants,revenue demand,1.0,considerably reduced
rana,subjects,1.0,fricition
british,received by,1.0,complaints
bethus,mass agitation of the landless agricultural labourers,1.0,agitation
koli landless labourers,public action,1.0,autonomous action
landless agricultural labourers,rural economy of the western himalayas,1.0,integral part
begar levies,them,1.0,imposed on
khash-kanet peasants,by paying commutation fees,1.0,relieve themselves
bethus,to cultivate for their own subsistence,1.0,given a small plot
royal fields and homes,made on the royal fields and homes,1.0,demands on labour
masters,attend to any of the needs,1.0,needs of their masters
bethus,tenants-at-will,1.0,classified_as
khash-kanet peasants,occupancy tenants,1.0,classified_as
bethus,land they cultivated for their subsistence,1.0,evicted_from
khash-kanet peasants,land they had recently acquired,1.0,evicted_from
bethus,loans on their land,1.0,denied_access_to
bethus,alienation of their land,1.0,denied_access_to
koti bethus,6000 bighas,1.0,cultivated_land
bethus,10 cultivated bighas,1.0,held_land_per_capita
koti bethus,simla market,1.0,sold_products_to
bethus,rs 800 per year,1.0,earned_income
bethus,emerged,1.0,moved up on the economic scale
bethus of koti,22 out of 26 basas,1.0,struck work
beth-begar labour,the bethus,1.0,was forced to provide
land revenue,the bethus,1.0,should be allowed to pay
bethus,on the basa,1.0,refused to give more than four hours labour
wajib-ul-arz,during the land settlement,1.0,was drawn up
state officials,the demand of paying land revenue,1.0,refused to accept
himalayan riyasati praja mandal,to send land revenue 'dues',1.0,gave advice
bethus of pajoy basa,"‘hukam sunya gaya tha ke beth-begar band hai, congress ka hukam tha’",1.0,declared to ramsay
bethu activists,"koli punno, kolis durga, dillu and laksonu",1.0,were identified as
british and state officials,the bethus,1.0,rejected outright the demands of
dagi-koli bethus,deities,1.0,take oath on
pujaris and purohits of the rana,deities,1.0,control over
koti bethus,rana's basa,1.0,provide services to
bethus,rana's basa,1.0,cultivate
bethus,produce,1.0,carry and dispose of
bethus,"10,000 maunds of wood annually",1.0,collect and carry
bethus,"6,000 maunds of grass annually",1.0,collect and carry
koti state,293 begaris,1.0,require daily attendance of
khash-kanet peasants,begar,1.0,pay commutation fee to
bethus,rana's elephant,1.0,pay cesses to
bethus,rana,1.0,pay rent on land for subsistence to
rana,"3,500 bighas of land cultivated by bethus",1.0,demand and receive rent from
koti bethus,rana,1.0,demand inclusion in rolls of occupancy tenants from
bethus,levies,1.0,giving
rana,bethus,1.0,owning land and house
bethus,authority of the state,1.0,coming out in open defiance of
dagi-koli communities,western himalayas,1.0,belonging to
praja mandal leadership,bethus,1.0,supporting
british officialdom,beth tenure,1.0,raising demands for an end to
dagi-koli bethus,mass of the khash-kanet peasantry,1.0,differentiated from
khash-kanets,artisans,1.0,population_of
menial workers,landless agricultural workers,1.0,population_of
ruling families,peasant communities,1.0,dependent_on
khash-kanets,pre-khash tribes,1.0,originated_from
khash-kanets,khash,1.0,defeated_by
orthodox priests,caste practices,1.0,not_stict_about
khash-kanets,"rules for birth, marriage and death ceremonies",1.0,did_not_follow
divinities,hindu pantheon,1.0,had_no_clear_genealogical_link_to
khash-kanet,mass of peasant cultivators,1.0,merged_into
orthodox hindu populations,hill states,1.0,controlled
khash-kanet,land and resources,1.0,had_control_over
king or his patron deity,population of the state,1.0,accepted_as_primary_divinity_of
hill states,productive resources,1.0,control
hill states,clans,1.0,domination
british government,hill states,1.0,power
"raja, rana or thakur of the hill states",clan institutions like the khumri and clan deity,1.0,buffeted
khumri,clan deity,1.0,authority
clan institutions,collective voice of the clan or lineage,1.0,function
traditional bodies of political organisation,"land settlements, forest settlements, extension of punjab customary law, and other legal codes instituted by the british",1.0,rendered obsolete and illegitimate
markets and cash,clan institutions like the khumri,1.0,destroyed legitimacy
the british,innovations,1.0,brought
institutions and relations,content,1.0,changed
populations of the western himalayas,radical breaks,1.0,experienced
contradiction,impossible to contain,1.0,became
institutions like the khumri and the goor,as active agents,1.0,continued
sanads,"clauses which banned sati, etc",1.0,granted
rulers of the hill states,many social clauses,1.0,did not adhere
british,rulers of the hill states,1.0,did not insist on compliance
lack of roads and other means of communication,the british,1.0,hampered
clause about building of roads,a dead letter,1.0,remained
british officers,widowed ranis from committing sati,1.0,dissuaded
minor social reforms,in and around the british settlements,1.0,began
christian missionary establishments,in places like kotgarh,1.0,started
schools,another route for the entry of new ideas,1.0,became
medical dispensaries,not only in the british tracts but also in many hill states,1.0,started operating
markets,with an increasingly large number of peasants,1.0,worked
hindus and muslims from the plains,peasants,1.0,had live contact with
sections of the local population,social reforms,1.0,took up
official records,various social reforms,1.0,documented
the western himalayas,indigenous desire to reform,1.0,developed
mahasu,other deities,1.0,attempted to conquer
every clan and territorial unit of settlement,patron deity,1.0,had its own
natural springs or other water sources,special deities,1.0,linked to
forests,special deities,1.0,linked to
natural forces,special deities,1.0,linked to
specific diseases like small pox,special deities,1.0,linked to
the supernatural world,animistic,1.0,was classified as
each deity,"domain, subjects and geographical territory",1.0,had a clearly defined
the inhabitants of the valley,malevolent gods,1.0,life was made difficult by
a brahmin's wife,at the temple of hatkoti,1.0,forced him to go and find some divine relief
mahasu,kashmir,1.0,resided
the old man,despair to mahasu,1.0,conveyed
mahasu,relief from the malevolent gods,1.0,promised
the brahmin,plough of silver with a gold tip,1.0,made
mahasu,return to his village and make a plough,1.0,commanded
the brahmin,his lands every sunday,1.0,ploughed
mahasu,come with his army and destroy the demons,1.0,promised
the brahmin,golden idol from the furrowed field,1.0,pulled out
the furrows,"hundreds of gold, silver and bronze images - the army of mahasu",1.0,emerged
mahasu,himself at hanol,1.0,established
mahasu,to the domain of other deities and harass their followers,1.0,travelled
the victims,superiority of mahasu,1.0,collectively accepted
mahasu,heaviest demands on resources and labour of the peasants,1.0,required
shalu,pastoral,1.0,origin
shepherds,ram,1.0,find
ram,rock,1.0,transfixed
image,valley,1.0,roll away
goor,shalu,1.0,declare
shalu,popular deity,1.0,become
land and forest settlements,money,1.0,introduce
agriculture,paying,1.0,become
labour,importance of pastoralism,1.0,reduce
mahasu,watershed area,1.0,conquer
chasralu,mahasu,1.0,put up a valiant fight
subjects,wanton breach of contract by mahasu,1.0,get angry
village,chasralu's cave,1.0,stop visiting
mahasu,sight of blood,1.0,abhor
mahasu,devotees taking regular baths,1.0,like
mahasu,purdah from lay followers,1.0,keep
they,presents,1.0,give
emerson,account,1.0,has
jakh of janglik village,guardian deities,1.0,be
mahasu's theophany,nature of departures,1.0,show
mahasu,sacrifices,1.0,demand
himalayan people,conceptual universe,1.0,change
himalayan peasant,conceptual universe,1.0,attempt to change
land settlements,changes,1.0,bring about
british towns and their markets,region,1.0,intrude into
orthodox hindus and their practices,region,1.0,intrude into
mahasu,structures of economy,1.0,have a link with
peasantry,proprietorship in land,1.0,gain
peasantry,economic resources outside their community,1.0,tap
peasantry,growing markets,1.0,enter
peasancy,new identity as proprietary peasants,1.0,exert
mahasu's adventures,new social reality,1.0,be the first and perhaps most unconscious of them
reform movements,"polyandry or group marriage, caste status and clan affiliation, begar",1.0,shift from purely religious/mythological to social practices underpinned by religion
british conquest of the western himalayas,the time,1.0,suggest that literacy was negligible at the time
hindustan-tibet road,the western himalayas,1.0,allow large-scale civilian populations of europeans to go up into the mountains for purposes of extended stay
british officers,the west himalayas,1.0,bring their families to the hill stations
local children,these schools,1.0,be admitted in schools
christian missionary institutions,rural areas directly administered by the british,1.0,start their own schools for non-european populations
baptist mission church,the region,1.0,avow its aim to enable hill people to read the bible in the vernacular and thus spread the word of god in the region
sirmaur,boarding facilities,1.0,had
pupils,all classes of society,1.0,belonged to
kanet and koli children,brahmins and rajputs,1.0,apart from
sirmaur,schools,1.0,started
simla district gazetteer,primary schools in the state,1.0,records
1934 sirmaur state gazetteer,existence of primary schools in six places,1.0,records
nahan,one high school affiliated with punjab university,1.0,had
punjab university,nahan's high school,1.0,was affiliated with
sirmaur subjects,primary schools,1.0,received free education in
kanet and rajput agriculturists,praja mandal agitation,1.0,took over leadership of
hill states,schools run in simla and other british territories,1.0,managed to get some education in
himalayan population,school education,1.0,seems to have some prejudice against
simla district,12.03%,1.0,had_literate_population
kangra district,3.43%,1.0,had_literate_population
kotkhai and kotgarh ilaqa,368,1.0,had_literate_population
kullu sub-division,"2,043",1.0,had_literate_population
"punjab census, 1881",4.32%,1.0,reported_education_spread
saraj area,banjar and nirmand schools,1.0,was_acquainted_with_primary_school
students from saraj region,nagri script,1.0,were_reputed_to_be_acquainted_with
englishmen or officials of punjab government,recorded,1.0,knew_english_in_kullu_sub-division
kanet males,3.09% of the population,1.0,literacy level
dagi–koli males,0.47,1.0,literacy level
