subject,relation,object,sentence,doc_id
nomads,carry,town,"From Dabusun nor, Mongolian and Tibetan nomads carried the salt to the town of Tongkhor, an important trade center in the Amdo- Gansu border area in the early 20th century, from where, along with salt, Amdo wool and lamb skins were also exported to China.19 Lake Tsaka or Chaka (""Salt Lake"") or Wu yi tsa tso (""Bubbling Salt Lake"")20 in Ulan area was also another major supplier of salt consumed in Thrika (now Guide), Kumbum (present-day Huangzhong) and other parts of Amdo.",block_92
nomads,carry,town,"From Dabusun nor, Mongolian and Tibetan nomads carried the salt to the town of Tongkhor, an important trade center in the Amdo- Gansu border area in the early 20th century, from where, along with salt, Amdo wool and lamb skins were also exported to China.19 Lake Tsaka or Chaka (""Salt Lake"") or Wu yi tsa tso (""Bubbling Salt Lake"")20 in Ulan area was also another major supplier of salt consumed in Thrika (now Guide), Kumbum (present-day Huangzhong) and other parts of Amdo.",block_93
someone,lend,yaks,"According to custom if someone lent yaks, frames or sacks... Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 1 times ↳ tsaka [/people/person] — 1 times ↳ ulan [/location/location] — 1 times ↳ tso [/location/location] — 1 times ↳ yak",block_96
men,offer,bsang,"Every day, upon rising, the men would offer bsang (incense) and prayers to the local deities to gain their favor.22 The care of the animals was essential at all times to 17 Van Spengen 2013, p. 495-496. 18",block_97
which,become,tsaka,"According to legend, the Mongolian king Bang A ma gave the locals a salt spring, which became this Lake Tsaka.",block_98
which,become,tsaka,"According to legend, the Mongolian king Bang A ma gave the locals a salt spring, which became this Lake Tsaka.",block_99
entities,sort,frequency,In the past many Amdowa... Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 1 times ↳ wenchangjia [/people/person] — 1 times ↳ nyangchakja [/people/person] — 1 times ↳ rgyas [/organization/organization] — 1 times ↳ van [/people/person] — 1 times ↳ coales,block_99
which,become,tsaka,"According to legend, the Mongolian king Bang A ma gave the locals a salt spring, which became this Lake Tsaka.",block_100
which,become,tsaka,"According to legend, the Mongolian king Bang A ma gave the locals a salt spring, which became this Lake Tsaka.",block_101
which,become,tsaka,"According to legend, the Mongolian king Bang A ma gave the locals a salt spring, which became this Lake Tsaka.",block_102
which,become,tsaka,"According to legend, the Mongolian king Bang A ma gave the locals a salt spring, which became this Lake Tsaka.",block_103
revue,d’etude,78,Revue d’Etudes Tibétaines 78 ensure the success of the journey.,block_103
routes,run,kham,"...Other routes ran southwards to Northern Kham, eastwards to the Chinese plain of Sichuan, and northeast- wards to Gansu and Inner Mongolia.",block_105
they,camp,banks,"Once loaded, they would camp on the banks of the Kyaring tso and Ngor- ing tso before leaving the Golok country and heading west to sell their salt in Nakchu and even Lhasa.28 The Goloks themselves also took their salt annually to the Tsangpo valley and exchanged it for grain near Nang dzong in Kongpo.29",block_108
goloks,take,valley,"Once loaded, they would camp on the banks of the Kyaring tso and Ngor- ing tso before leaving the Golok country and heading west to sell their salt in Nakchu and even Lhasa.28 The Goloks themselves also took their salt annually to the Tsangpo valley and exchanged it for grain near Nang dzong in Kongpo.29",block_108
lims,act,intermediaries,The Chinese and Mus- lims of Amdo acted as intermediaries between the Amdowa Tibetans and the Chinese world of Gansu and...,block_108
goloks,take,valley,...leaving the Golok country and heading west to sell their salt in Nakchu and even Lhasa.28 The Goloks themselves also took their salt annually to the Tsangpo valley and exchanged it for grain near Nang dzong in Kongpo.29,block_109
lims,act,intermediaries,The Chinese and Mus- lims of Amdo acted as intermediaries between the Amdowa Tibetans and the Chinese world of Gansu and northern Sichuan.,block_109
goloks,take,valley,...their salt in Nakchu and even Lhasa.28 The Goloks themselves also took their salt annually to the Tsangpo valley and exchanged it for grain near Nang dzong in Kongpo.29,block_110
lims,act,intermediaries,The Chinese and Mus- lims of Amdo acted as intermediaries between the Amdowa Tibetans and the Chinese world of Gansu and northern Sichuan.,block_110
goloks,take,valley,...The Goloks themselves also took their salt annually to the Tsangpo valley and exchanged it for grain near Nang dzong in Kongpo.29,block_111
lims,act,intermediaries,The Chinese and Mus- lims of Amdo acted as intermediaries between the Amdowa Tibetans and the Chinese world of Gansu and northern Sichuan.,block_111
lims,act,intermediaries,The Chinese and Mus- lims of Amdo acted as intermediaries between the Amdowa Tibetans and the Chinese world of Gansu and northern Sichuan.,block_112
which,supply,soldiers,"Another business as profitable as it was dangerous was that of arms trafficking, which supplied the soldiers of the Chinese feudal lords, those of the Tibetan princes and chiefs, the armories of... Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 1 times ↳ northern",block_112
that,plague,roads,"...groups that plagued the roads of Amdo and Kham.30 Reflecting its multi-ethnic and multi-cultural reality, Amdo's trad- ing centers were bustling with Mongol and Tibetan nomads, Hui and Salar Muslims, Tu peasants and local Han Chinese, Golok warriors and Chinese merchants; and in its many xiejias,31 salt was exchanged 27 Grenard 1904.",block_113
centers,bustle,nomads,"...groups that plagued the roads of Amdo and Kham.30 Reflecting its multi-ethnic and multi-cultural reality, Amdo's trad- ing centers were bustling with Mongol and Tibetan nomads, Hui and Salar Muslims, Tu peasants and local Han Chinese, Golok warriors and Chinese merchants; and in its many xiejias,31 salt was exchanged 27 Grenard 1904.",block_113
goloks,obtain,which,"The Kyaring tso and Ngoring tso, from which the Goloks obtained salt, are not strictly saltwater lakes, but salt is found along their banks.",block_113
goloks,obtain,which,"The Kyaring tso and Ngoring tso, from which the Goloks obtained salt, are not strictly saltwater lakes, but salt is found along their banks.",block_114
goloks,obtain,which,"The Kyaring tso and Ngoring tso, from which the Goloks obtained salt, are not strictly saltwater lakes, but salt is found along their banks.",block_115
it,have,century,"In 1727 it was recognized as an official frontier market by the Qing dynasty, and by the mid-18th century it had... Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 1 times ↳ thrika [/people/person] — 1 times ↳ opium",block_120
spyi,inform,addition,"This tshong spyi would inform Lhasa of the pas- sage of Tsaidam salt and Amdo wool to the Chinese lowlands, and about Sichuan grain and tea passing to the nomadic interior regions, as well as the conditions of transactions and the powers involved in them, in addition to representing Tibetan interests and procuring goods for his government.",block_121
they,trade,markets,...which they traded in the Gansu and Sichuan markets.,block_122
equivalent,bear,kham,"In neighboring Kham the equivalent of this institution bore the name guozhuang, and in the Yunnan part madian.",block_122
equivalent,bear,kham,"In neighboring Kham the equivalent of this institution bore the name guozhuang, and in the Yunnan part madian.",block_123
merchants,bring,salt,"Chinese merchants also brought Chinese salt along with tea, silk, cotton and porcelain.",block_124
traffickers,come,streets,"At the end of the Qing dynasty and in the years of the Republic, opium traffickers also came to its streets and those of Zitsa...",block_124
merchants,bring,salt,"Chinese merchants also brought Chinese salt along with tea, silk, cotton and porcelain.",block_125
traffickers,come,streets,"At the end of the Qing dynasty and in the years of the Republic, opium traffickers also came to its streets and those of Zitsa Degu (Ch. Jiuzhaigou, formerly Nanping), Ngaba or Barkham to exchange it for salt, grain, tea, textiles, precious metals and arms.",block_125
entities,sort,frequency,In the southeastern... Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 1 times ↳ amdowas [/location/location] — 1 times ↳ rgyas,block_125
salt,amdowa,location,In the southeastern... Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 1 times ↳ amdowas [/location/location] — 1 times ↳ rgyas,block_125
merchants,bring,salt,"Chinese merchants also brought Chinese salt along with tea, silk, cotton and porcelain.",block_126
traffickers,come,streets,"At the end of the Qing dynasty and in the years of the Republic, opium traffickers also came to its streets and those of Zitsa Degu (Ch. Jiuzhaigou, formerly Nanping), Ngaba or Barkham to exchange it for salt, grain, tea, textiles, precious metals and arms.",block_126
clan,dominate,end,The salt trips in Tibet and the Himalayas 81 The political control: the Ma clan The Mongols of the area35 had dominated the salt trade since the end of the Ming dynasty and continued to...,block_127
clan,dominate,end,The salt trips in Tibet and the Himalayas 81 The political control: the Ma clan The Mongols of the area35 had dominated the salt trade since the end of the Ming dynasty and continued to do so at least until the early...,block_128
clan,dominate,end,The salt trips in Tibet and the Himalayas 81 The political control: the Ma clan The Mongols of the area35 had dominated the salt trade since the end of the Ming dynasty and continued to do so at least until the early 19th century.,block_129
control,dominate,end,...The political control: the Ma clan The Mongols of the area35 had dominated the salt trade since the end of the Ming dynasty and continued to do so at least until the early 19th century.,block_130
empire,reestablish,1907,In 1907-1908 the Qing Empire reestablished the salt bureau.36,block_130
qi,become,1915,But in 1915 the Hui Muslim warlord Ma Qi became the first of the Qinghai governors of the influential Ma family.,block_130
empire,reestablish,1907,In 1907-1908 the Qing Empire reestablished the salt bureau.36,block_131
qi,become,1915,But in 1915 the Hui Muslim warlord Ma Qi became the first of the Qinghai governors of the influential Ma family.,block_131
empire,reestablish,1907,In 1907-1908 the Qing Empire reestablished the salt bureau.36,block_132
qi,become,1915,But in 1915 the Hui Muslim warlord Ma Qi became the first of the Qinghai governors of the influential Ma family.,block_132
ma,establish,ernment,The Ma established a semi-independent gov- ernment from Peking in Si-ning (now Xining).,block_132
qi,become,first,...warlord Ma Qi became the first of the Qinghai governors of the influential Ma family.,block_133
ma,establish,ernment,The Ma established a semi-independent gov- ernment from Peking in Si-ning (now Xining).,block_133
army,defeat,soldiers,"When the People's Liberation Army defeated his soldiers and took Lanzhou, Ma fled with his extraordinary fortune to Saudi Arabia.",block_133
ma,flee,arabia,"When the People's Liberation Army defeated his soldiers and took Lanzhou, Ma fled with his extraordinary fortune to Saudi Arabia.",block_133
ma,establish,ernment,The Ma established a semi-independent gov- ernment from Peking in Si-ning (now Xining).,block_134
army,defeat,soldiers,"When the People's Liberation Army defeated his soldiers and took Lanzhou, Ma fled with his extraordinary fortune to Saudi Arabia.",block_134
ma,flee,arabia,"When the People's Liberation Army defeated his soldiers and took Lanzhou, Ma fled with his extraordinary fortune to Saudi Arabia.",block_134
kham,amdowa,location,Kham and the Extended Eastern... Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 1 times ↳ amdowas [/location/location] — 1 times ↳ ernment [/organization/organization] — 1 times ↳ province,block_134
army,defeat,soldiers,"When the People's Liberation Army defeated his soldiers and took Lanzhou, Ma fled with his extraordinary fortune to Saudi Arabia.",block_135
ma,flee,arabia,"When the People's Liberation Army defeated his soldiers and took Lanzhou, Ma fled with his extraordinary fortune to Saudi Arabia.",block_135
man,have,faith,"The man has faith inside; the earth has salt inside Premi proverb38 In southeastern Tibet, on the banks of the Mekong River (known in Tibetan as Dza chu and in Chinese as Lacang jiang) are the salt pans of Tsakalho (Naxi: Yerkalo, Yakalo; Ch. Yanjing), which have histori- cally supplied salt to much of Kham and the... Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 1 times ↳ amdowas [/location/location] — 1 times ↳ himalayas",block_135
earth,have,tibet,"The man has faith inside; the earth has salt inside Premi proverb38 In southeastern Tibet, on the banks of the Mekong River (known in Tibetan as Dza chu and in Chinese as Lacang jiang) are the salt pans of Tsakalho (Naxi: Yerkalo, Yakalo; Ch. Yanjing), which have histori- cally supplied salt to much of Kham and the... Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 1 times ↳ amdowas [/location/location] — 1 times ↳ himalayas",block_135
which,have,much,"The man has faith inside; the earth has salt inside Premi proverb38 In southeastern Tibet, on the banks of the Mekong River (known in Tibetan as Dza chu and in Chinese as Lacang jiang) are the salt pans of Tsakalho (Naxi: Yerkalo, Yakalo; Ch. Yanjing), which have histori- cally supplied salt to much of Kham and the... Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 1 times ↳ amdowas [/location/location] — 1 times ↳ himalayas",block_135
times,amdowa,location,"The man has faith inside; the earth has salt inside Premi proverb38 In southeastern Tibet, on the banks of the Mekong River (known in Tibetan as Dza chu and in Chinese as Lacang jiang) are the salt pans of Tsakalho (Naxi: Yerkalo, Yakalo; Ch. Yanjing), which have histori- cally supplied salt to much of Kham and the... Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 1 times ↳ amdowas [/location/location] — 1 times ↳ himalayas",block_135
army,defeat,soldiers,"When the People's Liberation Army defeated his soldiers and took Lanzhou, Ma fled with his extraordinary fortune to Saudi Arabia.",block_136
ma,flee,arabia,"When the People's Liberation Army defeated his soldiers and took Lanzhou, Ma fled with his extraordinary fortune to Saudi Arabia.",block_136
man,have,faith,"The man has faith inside; the earth has salt inside Premi proverb38 In southeastern Tibet, on the banks of the Mekong River (known in Tibetan as Dza chu and in Chinese as Lacang jiang) are the salt pans of Tsakalho (Naxi: Yerkalo, Yakalo; Ch. Yanjing), which have histori- cally supplied salt to much of Kham and the nearby Extended East- 35",block_136
earth,have,tibet,"The man has faith inside; the earth has salt inside Premi proverb38 In southeastern Tibet, on the banks of the Mekong River (known in Tibetan as Dza chu and in Chinese as Lacang jiang) are the salt pans of Tsakalho (Naxi: Yerkalo, Yakalo; Ch. Yanjing), which have histori- cally supplied salt to much of Kham and the nearby Extended East- 35",block_136
which,have,much,"The man has faith inside; the earth has salt inside Premi proverb38 In southeastern Tibet, on the banks of the Mekong River (known in Tibetan as Dza chu and in Chinese as Lacang jiang) are the salt pans of Tsakalho (Naxi: Yerkalo, Yakalo; Ch. Yanjing), which have histori- cally supplied salt to much of Kham and the nearby Extended East- 35",block_136
entities,amdowa,location,Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 1 times ↳ amdowas [/location/location] — 1 times ↳ himalayas,block_136
army,defeat,soldiers,"When the People's Liberation Army defeated his soldiers and took Lanzhou, Ma fled with his extraordinary fortune to Saudi Arabia.",block_137
ma,flee,arabia,"When the People's Liberation Army defeated his soldiers and took Lanzhou, Ma fled with his extraordinary fortune to Saudi Arabia.",block_137
man,have,faith,"The man has faith inside; the earth has salt inside Premi proverb38 In southeastern Tibet, on the banks of the Mekong River (known in Tibetan as Dza chu and in Chinese as Lacang jiang) are the salt pans of Tsakalho (Naxi: Yerkalo, Yakalo; Ch. Yanjing), which have histori- cally supplied salt to much of Kham and the nearby Extended East- 35",block_137
earth,have,tibet,"The man has faith inside; the earth has salt inside Premi proverb38 In southeastern Tibet, on the banks of the Mekong River (known in Tibetan as Dza chu and in Chinese as Lacang jiang) are the salt pans of Tsakalho (Naxi: Yerkalo, Yakalo; Ch. Yanjing), which have histori- cally supplied salt to much of Kham and the nearby Extended East- 35",block_137
which,have,much,"The man has faith inside; the earth has salt inside Premi proverb38 In southeastern Tibet, on the banks of the Mekong River (known in Tibetan as Dza chu and in Chinese as Lacang jiang) are the salt pans of Tsakalho (Naxi: Yerkalo, Yakalo; Ch. Yanjing), which have histori- cally supplied salt to much of Kham and the nearby Extended East- 35",block_137
army,defeat,soldiers,"...People's Liberation Army defeated his soldiers and took Lanzhou, Ma fled with his extraordinary fortune to Saudi Arabia.",block_138
ma,flee,arabia,"...People's Liberation Army defeated his soldiers and took Lanzhou, Ma fled with his extraordinary fortune to Saudi Arabia.",block_138
man,have,faith,"The man has faith inside; the earth has salt inside Premi proverb38 In southeastern Tibet, on the banks of the Mekong River (known in Tibetan as Dza chu and in Chinese as Lacang jiang) are the salt pans of Tsakalho (Naxi: Yerkalo, Yakalo; Ch. Yanjing), which have histori- cally supplied salt to much of Kham and the nearby Extended East- 35",block_138
earth,have,tibet,"The man has faith inside; the earth has salt inside Premi proverb38 In southeastern Tibet, on the banks of the Mekong River (known in Tibetan as Dza chu and in Chinese as Lacang jiang) are the salt pans of Tsakalho (Naxi: Yerkalo, Yakalo; Ch. Yanjing), which have histori- cally supplied salt to much of Kham and the nearby Extended East- 35",block_138
which,have,much,"The man has faith inside; the earth has salt inside Premi proverb38 In southeastern Tibet, on the banks of the Mekong River (known in Tibetan as Dza chu and in Chinese as Lacang jiang) are the salt pans of Tsakalho (Naxi: Yerkalo, Yakalo; Ch. Yanjing), which have histori- cally supplied salt to much of Kham and the nearby Extended East- 35",block_138
man,have,faith,"The man has faith inside; the earth has salt inside Premi proverb38 In southeastern Tibet, on the banks of the Mekong River (known in Tibetan as Dza chu and in Chinese as Lacang jiang) are the salt pans of Tsakalho (Naxi: Yerkalo, Yakalo; Ch. Yanjing), which have histori- cally supplied salt to much of Kham and the nearby Extended East- 35",block_139
earth,have,tibet,"The man has faith inside; the earth has salt inside Premi proverb38 In southeastern Tibet, on the banks of the Mekong River (known in Tibetan as Dza chu and in Chinese as Lacang jiang) are the salt pans of Tsakalho (Naxi: Yerkalo, Yakalo; Ch. Yanjing), which have histori- cally supplied salt to much of Kham and the nearby Extended East- 35",block_139
which,have,much,"The man has faith inside; the earth has salt inside Premi proverb38 In southeastern Tibet, on the banks of the Mekong River (known in Tibetan as Dza chu and in Chinese as Lacang jiang) are the salt pans of Tsakalho (Naxi: Yerkalo, Yakalo; Ch. Yanjing), which have histori- cally supplied salt to much of Kham and the nearby Extended East- 35",block_139
who,arrive,century,"Although their presence dates back further, the bulk of the Amdo Mongols ap- pear to be descended from those who arrived with the establishment in the 17th century of a Mongol Oirat polity in Koko nor by Gushri...",block_139
which,have,much,"...Tibetan as Dza chu and in Chinese as Lacang jiang) are the salt pans of Tsakalho (Naxi: Yerkalo, Yakalo; Ch. Yanjing), which have histori- cally supplied salt to much of Kham and the nearby Extended East- 35",block_140
who,arrive,century,"Although their presence dates back further, the bulk of the Amdo Mongols ap- pear to be descended from those who arrived with the establishment in the 17th century of a Mongol Oirat polity in Koko nor by Gushri Khan.",block_140
who,arrive,century,"...which have histori- cally supplied salt to much of Kham and the nearby Extended East- 35 Although their presence dates back further, the bulk of the Amdo Mongols ap- pear to be descended from those who arrived with the establishment in the 17th century of a Mongol Oirat polity in Koko nor by Gushri Khan.",block_141
administration,establish,1724,In 1724 the Qing administration had already established a salt bureau in Qinghai but its activity was no more than...,block_141
administration,establish,1724,In 1724 the Qing administration had already established a salt bureau in Qinghai but its activity was no more than nominal and it eventually disappeared in 1742.,block_142
it,disappear,1742,In 1724 the Qing administration had already established a salt bureau in Qinghai but its activity was no more than nominal and it eventually disappeared in 1742.,block_142
bufang,stand,goloks,"Ma Bufang stood out for his cruelty with the Tibetans, especially with the Goloks.",block_142
ma,apply,that,"Faced with his failure to conquer the lands of the nomadic Washul clan due to the resistance encountered, Ma applied a long trade embargo to the nomads that...",block_142
administration,establish,1724,In 1724 the Qing administration had already established a salt bureau in Qinghai but its activity was no more than nominal and it eventually disappeared in 1742.,block_143
it,disappear,1742,In 1724 the Qing administration had already established a salt bureau in Qinghai but its activity was no more than nominal and it eventually disappeared in 1742.,block_143
bufang,stand,goloks,"Ma Bufang stood out for his cruelty with the Tibetans, especially with the Goloks.",block_143
ma,apply,embargo,"Faced with his failure to conquer the lands of the nomadic Washul clan due to the resistance encountered, Ma applied a long trade embargo to the nomads that prevented them from selling their products...",block_143
that,prevent,them,"Faced with his failure to conquer the lands of the nomadic Washul clan due to the resistance encountered, Ma applied a long trade embargo to the nomads that prevented them from selling their products...",block_143
it,disappear,1742,...in Qinghai but its activity was no more than nominal and it eventually disappeared in 1742.,block_144
bufang,stand,goloks,"Ma Bufang stood out for his cruelty with the Tibetans, especially with the Goloks.",block_144
ma,apply,embargo,"Faced with his failure to conquer the lands of the nomadic Washul clan due to the resistance encountered, Ma applied a long trade embargo to the nomads that prevented them from selling their products and de- prived them of cereal, tea and salt, essential products in their diet.",block_144
that,prevent,them,"Faced with his failure to conquer the lands of the nomadic Washul clan due to the resistance encountered, Ma applied a long trade embargo to the nomads that prevented them from selling their products and de- prived them of cereal, tea and salt, essential products in their diet.",block_144
de-,prive,cereal,"Faced with his failure to conquer the lands of the nomadic Washul clan due to the resistance encountered, Ma applied a long trade embargo to the nomads that prevented them from selling their products and de- prived them of cereal, tea and salt, essential products in their diet.",block_144
revue,d’etude,tibétaines,Revue d’Etudes Tibétaines 82 ern Himalayan39 foothills.,block_145
revue,d’etude,tibétaines,Revue d’Etudes Tibétaines 82 ern Himalayan39 foothills.,block_146
salt,reach,kham,"The production of Tsakalho and the extent of the area it supplied were considerably less than those of the Changtang salt lakes, and its salt reached mainly central and southern Kham and its adjacent Himalayan areas.",block_147
salt,reach,north,"In the north of the province the salt from the wells reached Chamdo along with, as noted above, that extracted from the lakes of Nakchu and Tsaidam.",block_147
that,extract,lakes,"In the north of the province the salt from the wells reached Chamdo along with, as noted above, that extracted from the lakes of Nakchu and Tsaidam.",block_147
it,reach,dartsedo,Eastwards it reached Dartsedo and southwards it penetrated into Yunnan as far as Gyalthang and Weixi.,block_147
it,penetrate,yunnan,Eastwards it reached Dartsedo and southwards it penetrated into Yunnan as far as Gyalthang and Weixi.,block_147
salt,reach,hills,"Westwards the Tsakalho salt would reach Tsawarong and Zayul, as well as the Mishmi Hills of present-day Arunachal, the Myanmar...",block_147
that,extract,lakes,"...Chamdo along with, as noted above, that extracted from the lakes of Nakchu and Tsaidam.",block_148
it,reach,dartsedo,Eastwards it reached Dartsedo and southwards it penetrated into Yunnan as far as Gyalthang and Weixi.,block_148
it,penetrate,yunnan,Eastwards it reached Dartsedo and southwards it penetrated into Yunnan as far as Gyalthang and Weixi.,block_148
salt,reach,hills,"Westwards the Tsakalho salt would reach Tsawarong and Zayul, as well as the Mishmi Hills of present-day Arunachal, the Myanmar Himalayas, and Nujiang.",block_148
you,look,tsakalho,"Wells and salt pans If you look down on Tsakalho from above, the view is breathtaking: along the two banks of the Dzachu, the accumulated brine in its near- ly 2700 salt pans shines from the river bed reflecting the sky.",block_149
brine,shin,bed,"Wells and salt pans If you look down on Tsakalho from above, the view is breathtaking: along the two banks of the Dzachu, the accumulated brine in its near- ly 2700 salt pans shines from the river bed reflecting the sky.",block_149
desgodins,list,bank,Desgodins already lists in 1872 fifteen wells on the right bank and thirty on the left bank.40 Tibet was once covered by an ocean and the underground saltwater lake that supplies these wells is a conse- quence of that past.,block_150
that,supply,wells,Desgodins already lists in 1872 fifteen wells on the right bank and thirty on the left bank.40 Tibet was once covered by an ocean and the underground saltwater lake that supplies these wells is a conse- quence of that past.,block_150
desgodins,list,bank,Desgodins already lists in 1872 fifteen wells on the right bank and thirty on the left bank.40 Tibet was once covered by an ocean and the underground saltwater lake that supplies these wells is a conse- quence of that past.,block_151
that,supply,wells,Desgodins already lists in 1872 fifteen wells on the right bank and thirty on the left bank.40 Tibet was once covered by an ocean and the underground saltwater lake that supplies these wells is a conse- quence of that past.,block_151
it,add,sikkim,It adds to Sikkim and Bhutan...,block_151
that,supply,wells,...the right bank and thirty on the left bank.40 Tibet was once covered by an ocean and the underground saltwater lake that supplies these wells is a conse- quence of that past.,block_152
it,add,all,"It adds to Sikkim and Bhutan pre- sent-day Arunachal Pradesh, the Burmese region of Hkakabo Razi, northwestern Yunnan province, and the strip of Tibetan territory contiguous to the north to all of them.",block_152
that,supply,wells,...right bank and thirty on the left bank.40 Tibet was once covered by an ocean and the underground saltwater lake that supplies these wells is a conse- quence of that past.,block_153
it,add,all,"It adds to Sikkim and Bhutan pre- sent-day Arunachal Pradesh, the Burmese region of Hkakabo Razi, northwestern Yunnan province, and the strip of Tibetan territory contiguous to the north to all of them.",block_153
settlement,lie,houses,"On the right bank, west of the river, lies the Tibetan settlement of Jada, with its hundred or so white houses scattered among fields of barley and wheat.",block_154
women,go,wells,"The Naxi women of Lower Tsakalho go down to the wells, and come back up with wooden tubes or buckets loaded with salt water weighing about 15 kg.",block_156
water,weigh,kg,"The Naxi women of Lower Tsakalho go down to the wells, and come back up with wooden tubes or buckets loaded with salt water weighing about 15 kg.",block_156
women,carry,jada,In Jada the Tibetan women usually carry two buckets of 10kg each.,block_156
women,go,wells,"...Naxi women of Lower Tsakalho go down to the wells, and come back up with wooden tubes or buckets loaded with salt water weighing about 15 kg.",block_157
water,weigh,kg,"...Naxi women of Lower Tsakalho go down to the wells, and come back up with wooden tubes or buckets loaded with salt water weighing about 15 kg.",block_157
women,carry,jada,In Jada the Tibetan women usually carry two buckets of 10kg each.,block_157
women,carry,jada,In Jada the Tibetan women usually carry two buckets of 10kg each.,block_158
hen,have,hand,"The hen, on the other hand, had more limited mobility because she had to take care of her eggs, so there are considerably fewer wells in the Lower Tsakalho.42 On the 42 Mu-gwan 2008; Lee 2006.",block_161
salt,pan,date,"In Tibetan mythology the sacred mountain par excel- lence of the area, the Kawa Karpo, is a male deity who is ""married"" to a female The salt trips in Tibet and the Himalayas 85 other hand, according to some sources, the salt pans date back to times...",block_161
hen,have,hand,"The hen, on the other hand, had more limited mobility because she had to take care of her eggs, so there are considerably fewer wells in the Lower Tsakalho.42 On the 42 Mu-gwan 2008; Lee 2006.",block_162
salt,pan,the,"In Tibetan mythology the sacred mountain par excel- lence of the area, the Kawa Karpo, is a male deity who is ""married"" to a female The salt trips in Tibet and the Himalayas 85 other hand, according to some sources, the salt pans date back to times before the...",block_162
which,describe,times,"...of the Rawang people which describe the route of their migration from Tibet to northern Myanmar in ancestral times, there is talk of a stop they made at shòwá ădăm.",block_163
they,make,ădăm,"...of the Rawang people which describe the route of their migration from Tibet to northern Myanmar in ancestral times, there is talk of a stop they made at shòwá ădăm.",block_163
couple,have,others,"In the Markham area three ""daugh- ters"" are referred to, in other parts two, and in others the couple has ""sons"", ""un- cle"", ""army"", etc., instead of ""daughters""; these ""relatives"" always being moun- tains.",block_164
couple,have,others,"In the Markham area three ""daugh- ters"" are referred to, in other parts two, and in others the couple has ""sons"", ""un- cle"", ""army"", etc., instead of ""daughters""; these ""relatives"" always being moun- tains.",block_165
couple,have,others,"In the Markham area three ""daugh- ters"" are referred to, in other parts two, and in others the couple has ""sons"", ""un- cle"", ""army"", etc., instead of ""daughters""; these ""relatives"" always being moun- tains.",block_166
couple,have,others,"...Markham area three ""daugh- ters"" are referred to, in other parts two, and in others the couple has ""sons"", ""un- cle"", ""army"", etc., instead of ""daughters""; these ""relatives"" always being moun- tains.",block_167
i,thank,ley,"I thank Li-hua Ying, John Studley, Katia Buffetrille, Jan Salick, Bob Mose- ley, Jim Goodman, and Brendan Galipeau (personal communications March 6-14, 2021) for their comments.",block_168
i,thank,ley,"I thank Li-hua Ying, John Studley, Katia Buffetrille, Jan Salick, Bob Mose- ley, Jim Goodman, and Brendan Galipeau (personal communications March 6-14, 2021) for their comments.",block_169
i,thank,ley,"I thank Li-hua Ying, John Studley, Katia Buffetrille, Jan Salick, Bob Mose- ley, Jim Goodman, and Brendan Galipeau (personal communications March 6-14, 2021) for their comments.",block_170
revue,d’etude,center,"Revue d’Etudes Tibétaines 86 important salt center in the region, as well as an obligatory passage for Yunnan tea on its way...",block_171
revue,d’etude,center,"Revue d’Etudes Tibétaines 86 important salt center in the region, as well as an obligatory passage for Yunnan tea on its way to Lhasa.",block_172
kingdom,rule,sadam,During the 15th century the pow- erful Naxi kingdom ruled by the Mu family from Jang Sadam (Li- jiang) expanded northward to Bathang...,block_172
lhasa,exercise,influence,"...Lhasa, the Gelukpa branch monasteries also exercised important political influence over the area; both were involved in commercial transactions that served their own interests.",block_173
that,serve,interests,"...Lhasa, the Gelukpa branch monasteries also exercised important political influence over the area; both were involved in commercial transactions that served their own interests.",block_173
who,rule,sichuan,"...cials dependent on the ""warlords"" who ruled Sichuan or Yunnan.",block_174
traders,benefit,part,"Local Khampa and Naxi traders only benefited from a small part of the profits generated by salt production.47 In the last quarter of the 19th century a new force had joined the race for influence on the frontier: the French Catholic missionaries of the Missions Étrangères de Paris had settled in Bathang, and later in Tsakalho where after founding a church in 1865, in 1870 they bought 45 The great monastery of Ba Chode, in Bathang, was the main and most powerful in the region.",block_174
force,join,tsakalho,"Local Khampa and Naxi traders only benefited from a small part of the profits generated by salt production.47 In the last quarter of the 19th century a new force had joined the race for influence on the frontier: the French Catholic missionaries of the Missions Étrangères de Paris had settled in Bathang, and later in Tsakalho where after founding a church in 1865, in 1870 they bought 45 The great monastery of Ba Chode, in Bathang, was the main and most powerful in the region.",block_174
