subject,relation,object,weight,example_sentence,doc_id
tapyo,reduce,middlemen,2,"This tapyo greatly reduced their depend- ence on the Nyishi middlemen who obtained their salt from Tibet, and explains the almost total absence of goiter cases among the Apa Tanis.",block_212
who,obtain,tibet,2,"This tapyo greatly reduced their depend- ence on the Nyishi middlemen who obtained their salt from Tibet, and explains the almost total absence of goiter cases among the Apa Tanis.",block_212
arrival,change,exploitation,3,"The arrival of modernity In central Tibet the 1950 invasion and subsequent extension of Chi- nese administration over the Dalai Lama's territory drastically changed the exploitation of salt, and especially its trade with the 57 Bray 2019, p. 154, 159; Gros 2016; Kingdon-Ward 1937, p. 276; Lazcano 1999.",block_214
revue,d’etude,slope,4,Revue d’Etudes Tibétaines 92 southern slope of the Himalayas.,block_217
invasion,change,exploitation,1,"...1950 invasion and subsequent extension of Chi- nese administration over the Dalai Lama's territory drastically changed the exploitation of salt, and especially its trade with the 57 Bray 2019, p. 154, 159; Gros 2016; Kingdon-Ward 1937, p. 276; Lazcano 1999.",block_215
territory,change,exploitation,2,"...territory drastically changed the exploitation of salt, and especially its trade with the 57 Bray 2019, p. 154, 159; Gros 2016; Kingdon-Ward 1937, p. 276; Lazcano 1999.",block_217
region,grow,invasion,2,"In addition, in just the first ten years after the establishment of the Chinese communist regime, the Tsaidam region grew from about 16,000 inhabitants (mostly Mongo- lian and Tibetan) to about 250,000 (mostly Han Chinese).64 In Tsa- kalho, after the invasion of the...",block_219
regions,find,opening,4,"Others regions like Wallung, in northeastern Nepal, found new trad- ing opportunities after the gradual opening of the Nepal-Tibet border since the mid-1960s.",block_223
revitalization,generate,opening,1,"Since the slight opening of the 1980s, the tenuous revitalization of the Himalayan caravans and of the salt production of Tsakalho has generated a new social and cultural impact on these populations that has little to do with what they experienced in the old days: 65 Penkgyi 2008, pp.",block_225
that,have,little,1,"Since the slight opening of the 1980s, the tenuous revitalization of the Himalayan caravans and of the salt production of Tsakalho has generated a new social and cultural impact on these populations that has little to do with what they experienced in the old days: 65 Penkgyi 2008, pp.",block_225
they,experience,days,1,"Since the slight opening of the 1980s, the tenuous revitalization of the Himalayan caravans and of the salt production of Tsakalho has generated a new social and cultural impact on these populations that has little to do with what they experienced in the old days: 65 Penkgyi 2008, pp.",block_225
some,take,opportunity,2,"Some, such as the Rupshu Ladakhi nomads, took advantage of the opportunity of having a nearby salt lake inside the Indian side of the border (the Tso Kar) and re- produced their earlier practices to extract salt from it.",block_226
re-,produce,practices,2,"Some, such as the Rupshu Ladakhi nomads, took advantage of the opportunity of having a nearby salt lake inside the Indian side of the border (the Tso Kar) and re- produced their earlier practices to extract salt from it.",block_226
trade,survive,smuggling,1,"67 Only the Himalayan peoples' taste for Tibetan salt and the properties they attrib- ute to it have made it possible for a small-scale trade to survive where the border is allowed to be crossed, or minor smuggling where the borders are still closed.",block_226
that,cross,himalayas,1,"...most coveted goods brought by the few caravans that still cross the Himalayas are no longer salt, wool, or religious artifacts, but Chinese manufactured goods such as cell phones, TVs, DVDs, electronic devices, modern clothing, and con- sumables of all kinds.68 In recent times China's enormous economic strength has placed trans-Himalayan trade in the new Asian econo- my driven by Beijing's quest for new markets.",block_227
strength,place,econo-,1,"...most coveted goods brought by the few caravans that still cross the Himalayas are no longer salt, wool, or religious artifacts, but Chinese manufactured goods such as cell phones, TVs, DVDs, electronic devices, modern clothing, and con- sumables of all kinds.68 In recent times China's enormous economic strength has placed trans-Himalayan trade in the new Asian econo- my driven by Beijing's quest for new markets.",block_227
opment,mean,construction,4,Its Great Western Devel- opment Strategy has meant the construction of quality infrastructures in Tibet that facilitates and makes cheaper the arrival of products from China.,block_230
goods,place,econo-,1,"...goods such as cell phones, TVs, DVDs, electronic devices, modern clothing, and con- sumables of all kinds.68 In recent times China's enormous economic strength has placed trans-Himalayan trade in the new Asian econo- my driven by Beijing's quest for new markets.",block_228
which,have,border,3,Currently there are many roads to the Himalayas and a railway from Beijing to Lhasa which already has a branch to the Aru- nachal border and will soon have another to the Nepalese border.,block_230
populations,enjoy,prices,2,The Himalayan populations near the open passes69 enjoy now -thanks to the skyrocketing prices of the caterpillar fungus or yartsa gunbu they collect70- a significant accumulation of capital; and nowadays China has become the provider of all the goods they...,block_230
they,collect70-,accumulation,2,The Himalayan populations near the open passes69 enjoy now -thanks to the skyrocketing prices of the caterpillar fungus or yartsa gunbu they collect70- a significant accumulation of capital; and nowadays China has become the provider of all the goods they...,block_230
china,become,provider,1,The Himalayan populations near the open passes69 enjoy now -thanks to the skyrocketing prices of the caterpillar fungus or yartsa gunbu they collect70- a significant accumulation of capital; and nowadays China has become the provider of all the goods they...,block_230
that,grow,grapes,2,"...and spectacular traditional salt flats on the Mekong, and with its Catholic population that grows grapes to produce wine, and regularly attends the only Catholic church within the limits of the Autonomous Region of Tibet, fits perfectly in the ""Greater Shangrila""72 tourist circuit pro- 68 Bauer 2014, p. 163, 167; Harris 2008, pp.",block_232
flats,fit,circuit,1,"...and spectacular traditional salt flats on the Mekong, and with its Catholic population that grows grapes to produce wine, and regularly attends the only Catholic church within the limits of the Autonomous Region of Tibet, fits perfectly in the ""Greater Shangrila""72 tourist circuit pro- 68 Bauer 2014, p. 163, 167; Harris 2008, pp.",block_232
limits,fit,circuit,1,"...limits of the Autonomous Region of Tibet, fits perfectly in the ""Greater Shangrila""72 tourist circuit pro- 68 Bauer 2014, p. 163, 167; Harris 2008, pp. 209, 213; Harris 2013, p. 63-64, 67; Mur- ton 2016, p. 105; Saxer 2013, p. 48; Saxer 2017, p. 78; Schrempf 2018, pp. 336, 350; Wangdi 2004; Wong How Man 2020, p. 19.",block_233
intention,e,destination,2,"...the 21st century the nearby Gyalthang (Chinese: Zhongdian) area was officially renamed ""Shangrila County"", with the clear intention of turn- ing the region into a powerful tourist destination.",block_235
writer,warn,danger,2,"The Chinese writer Fan Wen warns of the danger of the salt-pans becoming just a stage where locals play a role for tourists, and advocates that they become ""part of history gloriously retired from service"" Ying 2014, p. 38.",block_240
locals,play,role,2,"The Chinese writer Fan Wen warns of the danger of the salt-pans becoming just a stage where locals play a role for tourists, and advocates that they become ""part of history gloriously retired from service"" Ying 2014, p. 38.",block_240
they,become,part,2,"The Chinese writer Fan Wen warns of the danger of the salt-pans becoming just a stage where locals play a role for tourists, and advocates that they become ""part of history gloriously retired from service"" Ying 2014, p. 38.",block_240
revue,d’etude,referent,4,"Revue d’Etudes Tibétaines 96 as a referent of development and modernity, and contributing to the vindication of its national unity through its cultural heritage respec- tively.",block_242
bulletin,search,2526,1,"...beads in Arunachal Pradesh, India"" (https://himalaya.socanth.cam.ac.uk/collections/journals/ebhr/p df/EBHR_25&26_02.pdf), in: European Bulletin of Himalayan Re- search 25/26: (2003/2004).",block_246
revue,d’etude,land,1,Revue d’Etudes Tibétaines 100 land: Artibus Asiae.,block_269
roads,d’etude,saxer,1,"""New Roads, Old Trades Neighbouring China in Revue d’Etudes Tibétaines 102 Nepal"" (https://www.jstor.org/stable/j.ctt1jd94h1.8), in: Martin Saxer and Juan Zhang (eds.):",block_279
art,make,relations,1,The Art of Neighbouring: Making Relations Across China's Borders.,block_279
ing,goddesse,sing-,1,"...and sing- ing to the salt goddesses: An A mdo elder reflects on local cul- ture"", in: Asian Highlands Perspectives, 35.",block_280
elder,reflect,perspectives,1,"...and sing- ing to the salt goddesses: An A mdo elder reflects on local cul- ture"", in: Asian Highlands Perspectives, 35.",block_280
